mcs6as_3MBPP1r1_pr_counts	mcs6as_3MBPP1r1gb_counts	mcs6as_3MBPP1r1term_counts	mcs6as_3MBPP1r1pr_map	mcs6as_3MBPP1r1gb_map	mcs6as_3MBPP1r1term_map	mcs6as_3MBPP1r1pr_density	mcs6as_3MBPP1r1pr_densityRPKM	mcs6as_3MBPP1r1gb_density	mcs6as_3MBPP1r1gb_densityRPKM	mcs6as_3MBPP1r1pause_index_CI_low	mcs6as_3MBPP1r1pause_index_CI_high	mcs6as_3MBPP1r1pause_index_scaled	mcs6as_3MBPP1r1pause_index_CI_low_scaled	mcs6as_3MBPP1r1pause_index_CI_high_scaled	mcs6as_3MBPP1r1_ExpPR	mcs6as_3MBPP1r1_ExpGB	mcs6as_3MBPP1r1Fexact_Pval
SPAC11D3.06	11	399	14	100	1521	300	0.11	17.3729261266856	0.26232741617357	41.4308620198885	0.0143731836859626	0.0514469275700038	0.419323308270677	0.218616123863492	0.782507768339758	23	88	1
SPAC11D3.09	0	29	11	100	1729	300	0	0	0.0167727009832273	2.6490081375145	0.00315841214605714	0.170434554760817	0	0.0546089460053279	2.94681345181453	1	99	1
SPAC11D3.10	1	191	3	100	4126	300	0.01	1.57935692060778	0.0462918080465342	7.31112874057407	0.000272009695517308	0.0342623818642002	0.216020942408377	0.0112231200370441	1.4136658757169	4	97	1
SPAC11D3.13	0	284	87	100	920	300	0	0	0.308695652173913	48.7540614622402	0.000320286893486122	0.0169174895412107	0	0.00294663942007232	0.155640903779138	23	77	1
SPNCRNA.609	48	446	4	100	4138	300	0.48	75.8091321891735	0.107781536974384	17.0225516334236	0.0789665068757174	0.146262947336333	4.45345291479821	3.26763405451719	6.05236076077745	14	134	7.08524808763612e-10
SPNCRNA.147	8	5	7	100	333	300	0.08	12.6348553648622	0.015015015015015	2.37140678769937	0.476607751876459	5.60764260108157	5.328	1.58710381374861	18.6734498616016	1	107	1
SPAC11D3.15	12	885	2	100	3921	300	0.12	18.9522830472934	0.225707727620505	35.64730616521	0.00731664034280475	0.0245256582510388	0.531661016949153	0.286885467841374	0.961651060023231	20	92	1
SPAC11D3.17	8	461	34	100	3291	300	0.08	12.6348553648622	0.140079003342449	22.1234743360737	0.00801650893210312	0.0359297755533236	0.571106290672451	0.263823308955514	1.18244891345988	13	95	1
SPNCRNA.611	16	93	24	100	1474	300	0.16	25.2697107297245	0.0630936227951153	9.96473498076822	0.0974548386879746	0.299428829946611	2.53591397849462	1.43648432226075	4.41358095341304	6	110	1
SPAC5H10.01	5	25	5	100	687	300	0.05	7.8967846030389	0.0363901018922853	5.74729592652031	0.0672763464351095	0.549212697171498	1.374	0.462188500009202	3.77309122956819	3	102	1
SPNCRNA.613	6	20	21	100	416	300	0.06	9.47614152364668	0.0480769230769231	7.59306211830664	0.108046804638578	0.788397697192215	1.248	0.449474707296486	3.27973442031961	4	102	1
SPAC5H10.03	1	747	237	100	3193	300	0.01	1.57935692060778	0.233949264015033	36.9489389193239	6.97951117008027e-05	0.00871157926432661	0.0427443105756359	0.00222855791660663	0.278160725909949	19	82	1
SPAC5H10.04	37	619	7	100	2498	300	0.37	58.4362060624879	0.247798238590873	39.1361863032913	0.0422603843242767	0.0841790003380015	1.49315024232633	1.05566440042043	2.10279142844328	27	110	1
SPAC5H10.07	20	72	9	100	453	300	0.2	31.5871384121556	0.158940397350993	25.1023616520442	0.163967172628767	0.466245963097129	1.25833333333333	0.742771292008315	2.11209421283	16	104	1
SPNCRNA.614	18	167	50	100	1475	300	0.18	28.4284245709401	0.113220338983051	17.881532592644	0.0641630712786646	0.178816552977612	1.58982035928144	0.946405301360303	2.63754415641977	12	106	1
SPAC5H10.10	14	243	18	100	1554	300	0.14	22.1109968885089	0.156370656370656	24.6965078318977	0.0322636620903833	0.100964400015571	0.895308641975309	0.501377308884557	1.56898677624198	15	99	1
SPAC5H10.11	4	44	2	100	1565	300	0.04	6.31742768243112	0.0281150159744409	4.44036450522315	0.0277861948499424	0.263769882112263	1.42272727272727	0.434853949401598	4.12799865505692	2	102	1
SPNCRNA.616	1	2	0	100	497	300	0.01	1.57935692060778	0.00402414486921529	0.635556104872346	0.0179700152612445	6.97865092307548	2.485	0.0893109758483854	34.6838950876852	0	101	1
SPNCRNA.617	25	271	7	100	3975	300	0.25	39.4839230151945	0.0681761006289308	10.7674396348354	0.0598536879739365	0.141095452823113	3.6669741697417	2.37918409696398	5.60854424971873	7	118	0.00378178290853941
SPSNORNA.49	4	13	132	100	159	300	0.04	6.31742768243112	0.0817610062893082	12.9129811118875	0.0848707622678806	1.00958058009583	0.489230769230769	0.13494451200593	1.60523312235237	7	97	1
SPNCRNA.141	73	288	133	100	604	300	0.73	115.293055204368	0.47682119205298	75.3070849561326	0.194389363152963	0.330068047616399	1.53097222222222	1.1741117534439	1.99361100760305	55	118	1
SPAC13G6.03	73	915	33	100	3896	300	0.73	115.293055204368	0.234856262833676	37.0921864054445	0.062384116850944	0.101873523458204	3.10828415300546	2.43048519251278	3.96899247393163	32	141	4.10187887772011e-08
SPAC13G6.04	43	327	520	100	505	300	0.43	67.9123475861346	0.647524752475248	102.267269908662	0.0944016186945083	0.182568981813956	0.664067278287462	0.476728174407267	0.92197335816048	56	87	1
SPAC13G6.08	0	81	35	100	2130	300	0	0	0.0380281690140845	6.00600519104367	0.00112519171100525	0.059793543622105	0	0.0239665834444119	1.27360247915084	3	97	1
SPAC13G6.09	20	320	5	100	1572	300	0.2	31.5871384121556	0.203562340966921	32.1497591981228	0.0386686811850488	0.099917878329601	0.9825	0.607871668228967	1.57070904734133	20	100	1
SPAC13G6.13	0	0	0	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	13	1751	42	100	1272	300	0.13	20.5316399679011	1.37657232704403	217.409903143414	0.004120010296422	0.0130929765701003	0.0944374643061108	0.0524065309704879	0.166542661971676	65	48	1
SPAC24B11.05	37	478	22	100	1489	300	0.37	58.4362060624879	0.32102081934184	50.7006452686715	0.0545664106154618	0.109334468424278	1.15257322175732	0.812493854064226	1.6279902348375	33	104	1
SPNCRNA.622	33	557	8	100	2388	300	0.33	52.1187783800568	0.233249581239531	36.838434035952	0.0410040653811117	0.0851627971254329	1.41479353680431	0.979177081300947	2.03368759535534	25	108	1
SPNCRNA.142	13	404	36	100	597	300	0.13	20.5316399679011	0.676716917922948	106.877754761398	0.0177280372919649	0.0571751489742816	0.19210396039604	0.10583638263303	0.341335639376461	45	68	1
SPAC24B11.09	13	1418	67	100	2741	300	0.13	20.5316399679011	0.517329441809559	81.7047834156086	0.00508493699753112	0.0161763033774449	0.251290550070522	0.139378123102328	0.443392475575765	38	75	1
SPAC24B11.14	17	28	286	100	596	300	0.17	26.8490676503323	0.0469798657718121	7.4197976135936	0.318566300467201	1.14880596346958	3.61857142857143	1.89865515078452	6.84688354227872	5	112	1
SPAC24B11.13	56	1512	81	100	2075	300	0.56	88.4439875540357	0.728674698795181	115.083742841396	0.0280936011474793	0.0487128173313563	0.768518518518518	0.582942223810195	1.01079095962564	65	91	1
SPNCRNA.625	3	70	4	100	1669	300	0.03	4.73807076182334	0.0419412822049131	6.62402543094935	0.0107888205887194	0.140758323650804	0.715285714285714	0.180065415625727	2.34925642173193	4	99	1
SPNCRNA.627	1	67	25	100	761	300	0.01	1.57935692060778	0.088042049934297	13.9049820868228	0.000768718145976326	0.0990451196584708	0.113582089552239	0.00584994509087984	0.753733360600963	8	93	1
SPNCRNA.144	9	56	24	100	431	300	0.09	14.21421228547	0.129930394431555	20.5206467642774	0.0742392799741713	0.336275973477931	0.692678571428571	0.319971296688678	1.44934944568988	12	97	1
SPNCRNA.628	4	43	12	100	1566	300	0.04	6.31742768243112	0.0274584929757344	4.33667609106862	0.0284022086979824	0.270236188283737	1.45674418604651	0.444778588210405	4.23189870852333	2	102	1
SPNCRNA.145	5	10	14	100	719	300	0.05	7.8967846030389	0.0139082058414465	2.1966021148926	0.149264175161072	1.58487800229192	3.595	1.07320941940811	11.3952728364789	1	104	1
SPAC806.05	0	144	2	100	2921	300	0	0	0.0492981855528928	7.78594305263678	0.000632158495222	0.0334689242084586	0	0.0184653496454346	0.977627276129076	4	96	1
SPAC806.07	166	426	215	100	469	300	1.66	262.173248820892	0.908315565031983	143.455447372903	0.324361940212316	0.467973374949004	1.82755868544601	1.52125749959576	2.19479512851083	126	140	0.0921054779143631
SPNCRNA.630	4	596	3	100	2184	300	0.04	6.31742768243112	0.272893772893773	43.0996668810548	0.00214231499018134	0.0185314869309047	0.146577181208054	0.0467881593855604	0.404727674570959	22	82	1
SPNCRNA.631	4	7	0	100	863	300	0.04	6.31742768243112	0.00811123986095017	1.28105428091013	0.141097652543139	2.16319249445901	4.93142857142857	1.21767274144729	18.6683512271812	0	104	1
SPAC1F5.11c	22	1745	93	100	11254	300	0.22	34.7458522533712	0.155055980095966	24.4888735246186	0.00807571605172497	0.019491149728517	1.41884240687679	0.908841084461128	2.19353399044731	16	106	1
SPNCRNA.633	3	36	3	100	947	300	0.03	4.73807076182334	0.0380147835269271	6.0038911448659	0.0204905718519324	0.281535855854755	0.789166666666667	0.1940457154378	2.66614455494453	3	100	1
SPAC1F5.09c	9	54	29	100	1569	300	0.09	14.21421228547	0.0344168260038241	5.43564523344934	0.0768386608963752	0.349466794466519	2.615	1.20559858946413	5.48313400517969	3	106	1
SPAC1F5.08c	7	236	108	100	1608	300	0.07	11.0554984442545	0.146766169154229	23.1796164964824	0.0128434655517226	0.0648972982011849	0.476949152542373	0.2065229260717	1.04354855507505	13	94	1
SPAC1F5.07c	51	189	49	100	1526	300	0.51	80.5472029509968	0.123853211009174	19.5608425946835	0.195622210090265	0.371372401676163	4.11777777777778	2.98519492597744	5.66714284957825	16	135	1.50374818645946e-08
SPAC1F5.05c	5	105	15	100	731	300	0.05	7.8967846030389	0.143638850889193	22.6857013219996	0.0171427500998633	0.121080201010424	0.348095238095238	0.125313503230001	0.885096269386199	13	92	1
SPAC1F5.04c	14	1435	60	100	5667	300	0.14	22.1109968885089	0.253220398800071	39.9925389283954	0.00553700974772545	0.0168615825950855	0.552878048780488	0.313782342403601	0.955545885663497	23	91	1
SPAC1F5.03c	17	1130	2	100	1926	300	0.17	26.8490676503323	0.586708203530633	92.6621661623464	0.009019084576316	0.0247365930115291	0.289752212389381	0.173707568939846	0.476426781402051	43	74	1
SPNCRNA.148	0	0	2	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	3	5	100	506	300	0	0	0.00592885375494071	0.936377620913704	0.0327971598819604	2.22593021867193	0	0.16595362900272	11.26320690648	0	100	1
SPAC18B11.09c	1	153	36	100	960	300	0.01	1.57935692060778	0.159375	25.1710009221865	0.0003391702060249	0.0428520695671431	0.0627450980392157	0.00325603397783904	0.411379867844574	13	88	1
SPAC18B11.08c	81	250	103	100	553	300	0.81	127.92791056923	0.452079566003617	71.3994991233174	0.250160020607289	0.419185932754373	1.79172	1.38338491395831	2.31809820813168	56	125	1
SPAC18B11.07c	69	458	29	100	957	300	0.69	108.975627521937	0.478578892371996	75.5846885724518	0.115980246781626	0.195384321538204	1.44176855895197	1.10993096170016	1.86982795712061	54	115	1
SPAC18B11.03c	34	242	166	100	1723	300	0.34	53.6981353006645	0.140452698781196	22.1824941838121	0.096444868008564	0.203711762135697	2.42074380165289	1.66174507578756	3.50995366159805	16	118	0.376315871295851
SPAC18B11.02c	57	530	51	100	1187	300	0.57	90.0233444746435	0.446503791069924	70.5188852503895	0.0810239431284794	0.142439746681269	1.27658490566038	0.961754204935051	1.69075979310666	48	109	1
SPAC12G12.16c	38	124	23	100	1991	300	0.38	60.0155629830957	0.0622802611752888	9.83627615044524	0.209493745620948	0.446752874426314	6.10145161290323	4.17102047531307	8.89484972982792	8	130	1.34021045528233e-10
SPNCRNA.637	3	50	36	100	1253	300	0.03	4.73807076182334	0.0399042298483639	6.30230215725371	0.014953507709668	0.19943882178972	0.7518	0.18736745160214	2.4989684370252	3	100	1
SPAC12G12.14c	3	322	146	100	1844	300	0.03	4.73807076182334	0.174620390455531	27.5787922145176	0.00239269339659009	0.02988598878269	0.171801242236025	0.0441212662331213	0.551097633152803	15	88	1
SPAC12G12.13c	18	768	51	100	2129	300	0.18	28.4284245709401	0.360732738374824	56.9725746842074	0.0142394207430917	0.0380742409937529	0.498984375	0.303157267620422	0.810600590756999	31	87	1
SPAC12G12.11c	1	258	15	100	1362	300	0.01	1.57935692060778	0.18942731277533	29.9173337383853	0.000201618556845972	0.0253152389541794	0.0527906976744186	0.00274604474424214	0.344793554555923	16	85	1
SPAC12G12.17	8	85	26	100	508	300	0.08	12.6348553648622	0.167322834645669	26.4262476873349	0.0422691565504189	0.20083416053001	0.478117647058824	0.214727315276128	1.02023753549245	15	93	1
SPAC12G12.07c	17	551	119	100	1327	300	0.17	26.8490676503323	0.415222305953278	65.5784222498031	0.0184223409570219	0.0509405080386431	0.409419237749546	0.244464464499681	0.675980541672794	34	83	1
SPAC12G12.06c	25	677	231	100	1638	300	0.25	39.4839230151945	0.413308913308913	65.2762292583314	0.0242309336972742	0.0558320678046198	0.604874446085672	0.396902693961351	0.914529270639672	36	89	1
SPAC12G12.05c	46	254	2	100	1251	300	0.46	72.6504183479579	0.203037569944045	32.0668791234513	0.130580479898108	0.25044991142458	2.2655905511811	1.63356180352533	3.1331283919215	24	122	0.197596667724754
SPNCRNA.639	0	25	4	100	1545	300	0	0	0.0161812297734628	2.55559372266631	0.00366831680942558	0.19871450933181	0	0.0566754947056252	3.07013916917647	1	99	1
SPNCRNA.640	1	20	8	100	565	300	0.01	1.57935692060778	0.0353982300884956	5.59064396675321	0.00249697159993946	0.349045314408539	0.2825	0.0141078895396579	1.97210602640825	3	98	1
SPAC12G12.01c	26	776	21	100	3100	300	0.26	41.0632799358023	0.250322580645161	39.5348700126335	0.0221912554792431	0.0502093362191901	1.03865979381443	0.687928919856537	1.55648942279489	25	101	1
SPAC630.03	14	1652	182	100	1646	300	0.14	22.1109968885089	1.00364520048603	158.511399322239	0.00481143463790423	0.0146412199108162	0.139491525423729	0.0791962141399037	0.240994479732035	57	57	1
SPAC630.05	23	541	23	100	2562	300	0.23	36.325209173979	0.211163153786105	33.3501988309449	0.0273385386496997	0.0655220155338317	1.08920517560074	0.700413360205305	1.67867403797677	21	102	1
SPNCRNA.641	0	11	19	100	428	300	0	0	0.0257009345794393	4.05909488941252	0.00843437698064696	0.473726222726494	0	0.036099133477169	2.02754823326939	2	98	1
SPAC630.15	0	58	4	100	2081	300	0	0	0.0278712157616531	4.40185974989194	0.00157310823633282	0.0838787505311741	0	0.0327363823980861	1.74551679855373	2	98	1
SPAC630.10	568	102	21	100	1094	300	5.68	897.074730905219	0.093235831809872	14.7252656217544	4.48803403058713	6.91538551746665	60.9207843137255	49.0990922946232	75.6543175610852	56	612	9.55448922768907e-253
SPAC630.11	9	222	45	100	944	300	0.09	14.21421228547	0.235169491525424	37.1416563956491	0.0195044361766646	0.0812160862645008	0.382702702702703	0.184121877507713	0.766679854336887	20	89	1
SPAC630.12	28	247	18	100	1506	300	0.28	44.2219937770179	0.164010624169987	25.903131433607	0.075118544512572	0.169980936205732	1.70720647773279	1.13128528035933	2.55991289925832	18	110	1
SPAC1751.04	2	653	41	100	1652	300	0.02	3.15871384121556	0.395278450363196	62.4285756148233	0.000529337605275077	0.0123876535291866	0.0505972434915773	0.00874465723914427	0.204644036302163	28	74	1
SPAC1751.03	179	1945	92	100	1374	300	1.79	282.704888788793	1.4155749636099	223.56981154164	0.0787231637023512	0.107545643304837	1.26450385604113	1.08165626927031	1.47767713900846	163	116	1
SPAC31A2.02	18	161	55	100	783	300	0.18	28.4284245709401	0.205619412515964	32.4746442168394	0.0664910061776096	0.18566313627953	0.875403726708075	0.520624578370683	1.45374235706872	20	98	1
SPAC31A2.03	32	294	14	100	898	300	0.32	50.539421459449	0.32739420935412	51.7072310310342	0.0742236575841766	0.158776902225806	0.977414965986395	0.666528445105906	1.42581658198774	32	100	1
SPAC31A2.06	7	417	1	100	4811	257	0.07	11.0554984442545	0.0866763666597381	13.6892919537195	0.00730619616251234	0.0365262454602427	0.807601918465228	0.351501097378469	1.75727766909227	8	99	1
SPAC31A2.08	18	192	36	100	777	300	0.18	28.4284245709401	0.247104247104247	39.0265802775668	0.0559949454160373	0.154997462201526	0.7284375	0.43508072588261	1.20433028130585	23	95	1
SPAC31A2.10	0	211	10	100	1783	300	0	0	0.118339876612451	18.6900903111745	0.00043121392571436	0.0227956467164366	0	0.00768854429548704	0.406446380954064	10	90	1
SPAC31A2.12	5	1270	170	100	2450	300	0.05	7.8967846030389	0.518367346938776	81.868705680485	0.00144672895871657	0.00978584236666433	0.0964566929133858	0.0354448594885559	0.239753137983276	35	70	1
SPAC31A2.14	20	864	53	100	3306	300	0.2	31.5871384121556	0.261343012704174	41.2753895766825	0.0144526876353533	0.0366623637799518	0.765277777777778	0.477805853224779	1.21205774656521	24	96	1
SPAC31A2.16	18	468	11	100	3850	300	0.18	28.4284245709401	0.121558441558442	19.1984165933621	0.0232811555784682	0.0627185473025454	1.48076923076923	0.896324489771024	2.414664071148	12	106	1
SPAC13C5.02	616	439	78	100	1441	300	6.16	972.883863094393	0.304649548924358	48.1150373453724	1.23920948721368	1.58893195177361	20.2199544419134	17.8570087107491	22.8965094250577	167	549	3.05663353916646e-190
SPAC13C5.03	15	138	130	100	2441	300	0.15	23.6903538091167	0.0565342072920934	8.92876915378426	0.061340342781448	0.18947534182353	2.65326086956522	1.49731776729515	4.62509309391237	6	109	1
SPAC13C5.04	25	236	432	100	743	300	0.25	39.4839230151945	0.317631224764468	50.1653073032889	0.0685418851061878	0.162477025938407	0.787076271186441	0.509266206338975	1.20720430272236	30	95	1
SPNCRNA.05	0	5	6	100	539	300	0	0	0.00927643784786642	1.46508063136158	0.0190383591688732	1.16008855872718	0	0.102616755920227	6.25287733153951	0	100	1
SPAC13C5.07	0	3700	31	100	4610	300	0	0	0.802603036876356	126.759666079149	2.45664212675123e-05	0.00129471106417002	0	0.00113251202043232	0.0596861800582379	44	56	1
SPAC23E2.01	20	1781	80	100	3301	300	0.2	31.5871384121556	0.539533474704635	85.2115927174328	0.00703089760218088	0.0177348579138711	0.370690623245368	0.232089929847991	0.585427659736884	42	78	1
SPAC23E2.02	21	536	17	100	3817	300	0.21	33.1664953327634	0.140424417081478	22.1780274939945	0.0246687315969965	0.0615860698031091	1.49546641791045	0.941605485057358	2.35074028438467	14	107	1
SPNCRNA.650	1	16	0	100	1924	300	0.01	1.57935692060778	0.00831600831600832	1.31339452857196	0.00308778638028139	0.444289421552728	1.2025	0.0594090099566138	8.54812847067448	0	101	1
SPRRNA.11	0	0	1	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	1	28	36	100	759	300	0.01	1.57935692060778	0.0368906455862978	5.82634964124082	0.00180589559329714	0.244217113716604	0.271071428571429	0.0137067475531253	1.85360789310903	3	98	1
SPAC24H6.12c	9	243	11	100	1684	300	0.09	14.21421228547	0.144299287410926	22.7900078211218	0.0178406797987584	0.0741013164947643	0.623703703703704	0.300437047811092	1.24786616977183	13	96	1
SPAC24H6.11c	5	982	177	100	4261	300	0.05	7.8967846030389	0.230462332785731	36.3982280224558	0.00186999582157941	0.0126634744286394	0.216955193482688	0.0796805219574987	0.539590645404327	19	86	1
SPAC24H6.10c	76	898	103	100	992	300	0.76	120.031125966191	0.905241935483871	142.970011563083	0.0664762809625001	0.10759222614057	0.839554565701559	0.659444707148001	1.06731488331445	83	93	1
SPNCRNA.653	0	66	9	100	1202	300	0	0	0.0549084858569052	8.67200971381976	0.00138178273757893	0.0735710521596386	0	0.0166090285056988	0.884324046958856	5	95	1
SPNCRNA.551	4	45	7	100	427	300	0.04	6.31742768243112	0.105386416861827	16.6442766808783	0.0271963397809832	0.257605273600223	0.379555555555556	0.116128370864798	1.09997451827295	9	95	1
SPAC24H6.02c	0	142	8	100	943	300	0	0	0.150583244962884	23.7824690059708	0.000641076103730268	0.0339433348565579	0	0.00604534765817643	0.320085647697341	13	87	1
SPAC24H6.01c	9	191	69	100	2002	300	0.09	14.21421228547	0.0954045954045954	15.0677908010033	0.0226181880489967	0.0946273652815238	0.943350785340314	0.452816124740914	1.89443985293611	9	100	1
SPAPB21F2.02	58	1595	82	100	5340	300	0.58	91.6027013952513	0.298689138576779	47.1736758121612	0.027722988519295	0.047591027772503	1.94181818181818	1.48040758693036	2.54136088305166	36	122	0.572677306161484
SPAPB21F2.03	10	268	54	100	758	300	0.1	15.7935692060778	0.353562005277045	55.8400599898265	0.0187264113830634	0.072042256352823	0.282835820895522	0.141946198283621	0.546080303154398	28	82	1
SPNCRNA.655	7	372	15	100	2648	300	0.07	11.0554984442545	0.140483383685801	22.1873404254567	0.00818335069186674	0.0409804793196847	0.498279569892473	0.216695126320631	1.08516309238525	13	94	1
SPNCRNA.656	9	29	97	100	301	300	0.09	14.21421228547	0.0963455149501661	15.2163955806065	0.136705796769791	0.683922481555426	0.934137931034483	0.411484448277071	2.05860666948183	9	100	1
SPAC227.04	15	172	110	100	726	300	0.15	23.6903538091167	0.236914600550964	37.4172713973193	0.0494920863877518	0.151134682070432	0.633139534883721	0.359312547175078	1.09723779183134	22	93	1
SPAC227.05	24	100	86	100	247	300	0.24	37.9045660945867	0.404858299595142	63.9415757331085	0.14978337060291	0.381759745464199	0.5928	0.369964925389189	0.942946571296573	35	89	1
SPAC227.06	77	246	53	100	873	300	0.77	121.610482886799	0.281786941580756	44.5042156322467	0.240295320268356	0.40724667597957	2.73256097560976	2.09777814594275	3.55526348130164	38	139	2.56183771863545e-05
SPNCRNA.657	49	62	5	100	607	300	0.49	77.3884891097813	0.102141680395387	16.1318169814963	0.534460859778531	1.16770647876539	4.79725806451613	3.24417741885568	7.08797832610592	13	136	3.04448971419555e-08
SPAC227.09	14	229	6	100	2018	300	0.14	22.1109968885089	0.113478691774034	17.9223357194837	0.0342028644806836	0.107245217636914	1.23371179039301	0.690213805220194	2.16420849191292	11	103	1
SPAC227.10	117	403	58	100	920	300	1.17	184.78475971111	0.43804347826087	69.1826998918408	0.235025028619166	0.358402121729716	2.67096774193548	2.16223026329632	3.29729951991339	66	151	2.20450256522278e-07
SPAC227.12	17	302	3	100	1511	300	0.17	26.8490676503323	0.199867637326274	31.5662336216777	0.0333972535102704	0.0935566073069456	0.850562913907285	0.504632500540186	1.41364033640795	19	98	1
SPNCRNA.658	0	10	2	100	737	300	0	0	0.0135685210312076	2.14295375930499	0.00929728784483565	0.525639636497703	0	0.0685210114164387	3.87396412098807	1	99	1
SPAC227.14	0	246	37	100	2392	300	0	0	0.102842809364548	16.2425502704646	0.000369806854100381	0.019540401183028	0	0.00884577995008112	0.467406396298029	9	91	1
