Mcs6as_Cdk9as_3MBPP1_combined_pr_counts	Mcs6as_Cdk9as_3MBPP1_combinedgb_counts	Mcs6as_Cdk9as_3MBPP1_combinedterm_counts	Mcs6as_Cdk9as_3MBPP1_combinedpr_map	Mcs6as_Cdk9as_3MBPP1_combinedgb_map	Mcs6as_Cdk9as_3MBPP1_combinedterm_map	Mcs6as_Cdk9as_3MBPP1_combinedpr_density	Mcs6as_Cdk9as_3MBPP1_combinedpr_densityRPKM	Mcs6as_Cdk9as_3MBPP1_combinedgb_density	Mcs6as_Cdk9as_3MBPP1_combinedgb_densityRPKM	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_low	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_high	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_scaled	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1_combined_ExpPR	Mcs6as_Cdk9as_3MBPP1_combined_ExpGB	Mcs6as_Cdk9as_3MBPP1_combinedFexact_Pval
SPNCRNA.147	5	7	6	100	333	300	0.05	5.48270923471358	0.021021021021021	2.3050429215012	0.197594055286537	2.49659137459938	2.37857142857143	0.65798820410417	8.31364927741592	2	103	1
SPAC11D3.15	44	493	3	100	3921	300	0.44	48.2478412654795	0.125733231318541	13.7871749692109	0.0647304525808834	0.122652733913824	3.49947261663286	2.53808104569644	4.80921369676103	16	128	4.60671287444769e-06
SPAC11D3.17	41	698	21	100	3291	300	0.41	44.9582157246513	0.212093588574901	23.2569495340631	0.0422942247818673	0.0812756184987249	1.93310888252149	1.39190293757125	2.67478060479304	24	117	1
SPNCRNA.611	11	107	17	100	1474	300	0.11	12.0619603163699	0.0725915875169607	7.95997134483518	0.0523567928720422	0.196627790789889	1.51532710280374	0.771739126933902	2.89829363624297	7	104	1
SPAC5H10.01	5	52	14	100	687	300	0.05	5.48270923471358	0.0756914119359534	8.29988006419523	0.0338542498364901	0.250645611855144	0.660576923076923	0.232578696376687	1.72193535344484	7	98	1
SPNCRNA.613	7	45	26	100	416	300	0.07	7.67579292859901	0.108173076923077	11.8616305558707	0.0641699315377653	0.358780291085016	0.647111111111111	0.266946915197104	1.49252601091367	10	97	1
SPAC5H10.03	0	1416	287	100	3193	300	0	0	0.443470090823677	48.6283512455648	6.41981385615488e-05	0.00338440872479723	0	0.00204984656427025	0.108064170582776	30	70	1
SPAC5H10.04	91	364	19	100	2498	300	0.91	99.7853080717871	0.145716573258607	15.9784320371156	0.19733381749998	0.316415518679849	6.245	4.9293987611495	7.90405965662263	24	167	2.63481752302202e-25
SPAC5H10.07	9	76	24	100	453	300	0.09	9.86887662248444	0.167770419426049	18.3967285579793	0.055476023144778	0.244068331010728	0.536447368421053	0.251306384845844	1.1056295394786	15	94	1
SPNCRNA.614	12	186	125	100	1475	300	0.12	13.1585021633126	0.126101694915254	13.827578544498	0.0342820750288224	0.118582814393583	0.951612903225806	0.505660606675131	1.74909651230535	12	100	1
SPAC5H10.10	35	408	22	100	1554	300	0.35	38.378964642995	0.262548262548263	28.7895156726273	0.0597671410073713	0.122556270297456	1.33308823529412	0.928781371254551	1.90452444042247	28	107	1
SPAC5H10.11	11	49	1	100	1565	300	0.11	12.0619603163699	0.0313099041533546	3.43326201279189	0.110273047721871	0.446212930399309	3.51326530612245	1.72577319684728	6.98323236074919	3	108	1
SPNCRNA.616	0	7	2	100	497	300	0	0	0.0140845070422535	1.54442513653904	0.0134151780994594	0.782741335671289	0	0.0666734351543134	3.8902244382863	1	99	1
SPNCRNA.617	42	205	10	100	3975	300	0.42	46.054757571594	0.0515723270440252	5.65512147479891	0.14489010611122	0.288766464448677	8.14390243902439	5.75938171792098	11.4784669618349	6	136	2.01596570836305e-16
SPSNORNA.49	20	54	38	100	159	300	0.2	21.9308369388543	0.339622641509434	37.2410438584318	0.214514724256723	0.634135700822583	0.588888888888889	0.341078411568189	1.00827576430791	30	90	1
SPNCRNA.141	99	347	43	100	604	300	0.99	108.557642847329	0.574503311258278	62.9966922001858	0.226735317135919	0.358702299294827	1.72322766570605	1.36948131550095	2.16656188774075	72	127	1
SPAC13G6.03	99	969	15	100	3896	300	0.99	108.557642847329	0.248716632443532	27.2728195505003	0.0826097820298432	0.126233694324636	3.98043343653251	3.21847710788269	4.91806473088783	39	160	3.3745267118667e-16
SPAC13G6.04	59	831	495	100	505	300	0.59	64.6959689696202	1.64554455445545	180.44084649691	0.0540119992779352	0.0931291255672626	0.358543922984356	0.272760596353573	0.470302084114676	98	61	1
SPAC13G6.08	0	43	32	100	2130	300	0	0	0.02018779342723	2.21367602903928	0.00212472625826863	0.113763425024706	0	0.0452566693011219	2.42316095302624	1	99	1
SPAC13G6.09	18	763	22	100	1572	300	0.18	19.7377532449689	0.485368956743003	53.2227372275631	0.014332189960701	0.0383252370578852	0.370851900393185	0.22530202618222	0.602472726549955	38	80	1
SPAC13G6.13	1	3	2	100	147	300	0.01	1.09654184694272	0.0204081632653061	2.23784050396472	0.0133674946082822	3.55733427163736	0.49	0.0196502170741748	5.22928137930691	2	99	1
SPAC13G6.14	85	2427	100	100	1272	300	0.85	93.2060569901308	1.90801886792453	209.222253343551	0.0280339795088963	0.043698692858804	0.44548825710754	0.356592219353161	0.555847373163986	121	64	1
SPAC24B11.05	191	1154	92	100	1489	300	1.91	209.439492766059	0.775016789791807	84.9838342089922	0.141579556110311	0.193422433928699	2.46446273830156	2.10811959048254	2.88006004119832	127	164	4.35177944116758e-09
SPNCRNA.622	51	732	5	100	2388	300	0.51	55.9236341940785	0.306532663316583	33.6125892781435	0.0518870195135141	0.0933049409243026	1.66377049180328	1.23906202598272	2.22812198927235	35	116	1
SPNCRNA.142	46	379	92	100	597	300	0.46	50.4409249593649	0.634840871021776	69.612958122494	0.0882630627911458	0.166399857812225	0.724591029023747	0.52693048486314	0.99340715113898	56	90	1
SPAC24B11.09	46	2518	483	100	2741	300	0.46	50.4409249593649	0.918642831083546	100.733030667704	0.0134894977097135	0.0246615154496459	0.500738681493249	0.369747132223247	0.675972138474794	69	77	1
SPAC24B11.14	15	50	252	100	596	300	0.15	16.4481277041407	0.0838926174496644	9.19917656831137	0.161414440973755	0.549842458460361	1.788	0.962030068203579	3.27706105242375	8	107	1
SPAC24B11.13	144	3092	56	100	2075	300	1.44	157.902025959751	1.49012048192771	163.397946542018	0.0392590614637487	0.0552155593422386	0.966364812419146	0.814625525372786	1.14572285635145	146	98	1
SPNCRNA.625	4	76	8	100	1669	300	0.04	4.38616738777086	0.0455362492510485	4.99324028565886	0.0164028074013098	0.149328469928046	0.878421052631579	0.27376285552786	2.49229216309908	4	100	1
SPNCRNA.627	2	629	40	100	761	300	0.02	2.19308369388543	0.826544021024967	90.6340107394176	0.000549488869535602	0.0128616792493985	0.0241971383147854	0.00418161029716593	0.0978773790879226	46	56	1
SPNCRNA.144	20	603	39	100	431	300	0.2	21.9308369388543	1.39907192575406	153.414091347206	0.0206600511294886	0.0526570639011981	0.142951907131012	0.0890448203680959	0.226951945414164	69	51	1
SPNCRNA.628	15	91	13	100	1566	300	0.15	16.4481277041407	0.0581098339719029	6.3719864669085	0.0916905797551111	0.291696003553615	2.58131868131868	1.43587447896504	4.56795941564962	6	109	1
SPNCRNA.145	3	42	16	100	719	300	0.03	3.28962554082815	0.0584144645340751	6.40539048283645	0.0176841597743658	0.239326683558914	0.513571428571429	0.12714910877769	1.72075885478859	5	98	1
SPAC806.05	5	310	2	100	2921	300	0.05	5.48270923471358	0.106128038343033	11.6373835177077	0.00589272552974241	0.040346538360398	0.471129032258065	0.172126512723776	1.17852238550723	10	95	1
SPAC806.07	163	689	339	100	469	300	1.63	178.736321051663	1.46908315565032	161.091115680923	0.198693081429994	0.281564028848147	1.10953555878084	0.931870551906672	1.32053529529781	156	107	1
SPNCRNA.630	6	459	1	100	2184	300	0.06	6.57925108165629	0.210164835164835	23.045453651406	0.00528367490693146	0.0301942630532388	0.285490196078431	0.115395459967383	0.659442705082736	18	88	1
SPNCRNA.631	1	4	1	100	863	300	0.01	1.09654184694272	0.00463499420625724	0.50824651074981	0.0106420142837121	2.34682041637603	2.1575	0.0918405832684355	20.2530601933251	0	101	1
SPAC1F5.11c	24	2219	109	100	11254	300	0.24	26.3170043266252	0.197174338013151	21.6209912774648	0.00707113423894923	0.0164021222567503	1.21719693555656	0.795785447251347	1.84589483877468	20	104	1
SPNCRNA.633	3	48	7	100	947	300	0.03	3.28962554082815	0.0506863780359029	5.55797345863256	0.0155539315870732	0.208111576518362	0.591875	0.147295732129584	1.97081662962889	4	99	1
SPAC1F5.09c	2	82	110	100	1569	300	0.02	2.19308369388543	0.0522625876354366	5.73081143717671	0.00415187490199961	0.100574264254526	0.382682926829268	0.0651429172123739	1.57801020615351	5	97	1
SPAC1F5.08c	43	474	41	100	1608	300	0.43	47.1512994185368	0.294776119402985	32.3234350404756	0.0655262810903011	0.125167082853781	1.45873417721519	1.05366259993204	2.0126866922888	32	111	1
SPAC1F5.07c	13	428	30	100	1526	300	0.13	14.2550440102553	0.280471821756225	30.7549089443959	0.0167427186017174	0.0539396423780346	0.463504672897196	0.255493885862208	0.823118942688807	24	89	1
SPAC1F5.05c	27	187	12	100	731	300	0.27	29.6066298674533	0.255813953488372	28.0510705031857	0.094360321131158	0.21947579242451	1.05545454545455	0.689773947468765	1.60436804262317	25	102	1
SPAC1F5.04c	48	2702	26	100	5667	300	0.48	52.6340086532503	0.476795482618669	52.2826199124619	0.013205815907825	0.023825602481089	1.00672094744634	0.748373587496445	1.35019689260331	47	101	1
SPAC1F5.03c	76	2185	6	100	1926	300	0.76	83.3371803676464	1.13447559709242	124.399996654716	0.027477256815018	0.043964841078452	0.669913043478261	0.529211966257247	0.846762839170985	93	83	1
SPNCRNA.148	2	0	8	100	18	300	0.02	2.19308369388543	0	0	0.246676758328458	19.4460633145857	NA	0.0444018164991224	3.50029139662543	0	102	1
SPNCRNA.635	0	5	6	100	506	300	0	0	0.00988142292490119	1.08353937444932	0.0190383591688732	1.16008855872718	0	0.0963340973944984	5.87004810715954	0	100	1
SPAC18B11.09c	4	104	30	100	960	300	0.04	4.38616738777086	0.108333333333333	11.8792033418794	0.0120746883594801	0.108217665143438	0.369230769230769	0.115917008251009	1.038889585377	10	94	1
SPAC18B11.08c	51	380	126	100	553	300	0.51	55.9236341940785	0.687160940325497	75.3500726651414	0.0990622684033779	0.181366754672191	0.742184210526316	0.54781434427068	1.00295815333722	61	90	1
SPAC18B11.07c	321	1000	95	100	957	300	3.21	351.989932868612	1.04493207941484	114.581175229124	0.282496532933123	0.364702180065	3.07197	2.70349182016998	3.49019986322205	215	206	2.29110213087242e-18
SPAC18B11.03c	75	405	233	100	1723	300	0.75	82.2406385207036	0.235055136390017	25.7747793390482	0.143595700354177	0.238492923711274	3.19074074074074	2.47415391710247	4.10923307554525	33	142	3.36849073996788e-08
SPAC18B11.02c	53	1062	60	100	1187	300	0.53	58.1167178879639	0.89469250210615	98.1067768705277	0.0374858839134668	0.0662723828334231	0.592382297551789	0.44495744205285	0.786653184232732	72	81	1
SPAC12G12.16c	28	197	24	100	1991	300	0.28	30.703171714396	0.0989452536413862	10.8497611174141	0.0936793966962396	0.214298840783985	2.82984771573604	1.86515678822213	4.26668992000913	11	117	0.121285053224782
SPNCRNA.637	8	62	51	100	1253	300	0.08	8.77233477554172	0.0494812450119713	5.4258255794452	0.0572321620150036	0.279067895405209	1.61677419354839	0.717118990047995	3.49672072942727	5	103	1
SPAC12G12.14c	5	503	296	100	1844	300	0.05	5.48270923471358	0.272776572668113	29.9110926796196	0.00364236317936482	0.0247854792133698	0.183300198807157	0.0671651770274873	0.457044236694538	22	83	1
SPAC12G12.13c	79	1597	44	100	2129	300	0.79	86.6268059084745	0.750117426021606	82.2535147753648	0.0391952800838988	0.0623457306498039	1.05316844082655	0.834467512986206	1.32734060553433	76	103	1
SPAC12G12.11c	8	400	22	100	1362	300	0.08	8.77233477554172	0.293685756240822	32.2038721569079	0.00922987389544526	0.0414527299164063	0.2724	0.125710882455964	0.564586181461453	24	84	1
SPAC12G12.17	8	165	31	100	508	300	0.08	8.77233477554172	0.324803149606299	35.6160245562102	0.0221399790018546	0.101631347416405	0.24630303030303	0.112471093329421	0.51628724487534	26	82	1
SPAC12G12.07c	89	1485	154	100	1327	300	0.89	97.5922243779017	1.11906556141673	122.710221756589	0.048096137927094	0.0745959808925769	0.795306397306397	0.638235750292538	0.989888666444495	99	90	1
SPAC12G12.06c	81	1801	212	100	1638	300	0.81	88.8198896023599	1.0995115995116	120.566048006339	0.035759727633809	0.0564891996561682	0.736690727373681	0.585744338641791	0.925293090368035	94	87	1
SPAC12G12.05c	73	548	22	100	1251	300	0.73	80.0475548268182	0.438049560351719	48.0339673960518	0.103527339198034	0.171153004856746	1.66647810218978	1.29512701336741	2.14112409075789	52	121	1
SPNCRNA.639	5	47	5	100	1545	300	0.05	5.48270923471358	0.03042071197411	3.3357583693403	0.0372835602415028	0.278754789655684	1.6436170212766	0.576031005731218	4.30676150018031	3	102	1
SPNCRNA.640	7	19	15	100	565	300	0.07	7.67579292859901	0.0336283185840708	3.6874858569755	0.140932820462084	0.924948892514427	2.08157894736842	0.796270435610776	5.22596124270651	3	104	1
SPAC12G12.01c	17	967	6	100	3100	300	0.17	18.6412113980262	0.311935483870968	34.2050311610841	0.0105325533180069	0.0289254973147169	0.544984488107549	0.326509152858215	0.896690416756224	27	90	1
SPAC630.03	100	2385	123	100	1646	300	1	109.654184694272	1.44896719319563	158.885316218613	0.0341423749625752	0.0514404206273312	0.690146750524109	0.561983491883988	0.846709323525871	118	82	1
SPAC630.05	58	898	9	100	2562	300	0.58	63.5994271226775	0.350507416081187	38.4346049396783	0.0490569684183419	0.0848493604192198	1.6547438752784	1.25683953087792	2.17384061394041	41	117	1
SPNCRNA.641	1	18	31	100	428	300	0.01	1.09654184694272	0.0420560747663551	4.611624589946	0.00276112751307903	0.390963955466763	0.237777777777778	0.0118176257559782	1.67332572939775	4	97	1
SPAC630.15	18	161	5	100	2081	300	0.18	19.7377532449689	0.0773666506487266	8.48357699941264	0.0664910061776096	0.18566313627953	2.32658385093168	1.38367783855606	3.86364986597703	8	110	1
SPAC630.10	6896	225	68	100	1094	300	68.96	7561.75257651696	0.205667276051188	22.5522774736847	26.7829333174645	35.0830355445316	335.298844444444	293.005290493062	383.808408857176	1193	5803	0
SPAC630.11	23	343	69	100	944	300	0.23	25.2204624796824	0.363347457627119	39.8425692268381	0.0428942266647712	0.103902231636285	0.633002915451895	0.40492149971544	0.980837066646531	32	91	1
SPAC630.12	38	276	36	100	1506	300	0.38	41.6685901838232	0.183266932270916	20.0959860395876	0.0965868405971092	0.195483234934439	2.07347826086957	1.45459781939247	2.94397751811265	21	117	1
SPAC1751.04	2	1154	60	100	1652	300	0.02	2.19308369388543	0.698547215496368	76.5986253857078	0.000299815673101865	0.0070011915749101	0.028630849220104	0.00495295491964282	0.115659684817515	41	61	1
SPAC1751.03	278	4126	213	100	1374	300	2.78	304.838633450075	3.00291120815138	329.28178023913	0.0595560341358054	0.0762106503180906	0.92576829859428	0.818299909025967	1.04713433537056	283	95	1
SPAC31A2.02	25	209	116	100	783	300	0.25	27.4135461735679	0.266922094508301	29.2691246501951	0.0771856626361141	0.183981040691562	0.936602870813397	0.604363738440774	1.44057154861493	26	99	1
SPAC31A2.03	85	654	75	100	898	300	0.85	93.2060569901308	0.728285077951002	79.8595064477211	0.102982078951212	0.163835048865531	1.167125382263	0.924779068981885	1.47123873881246	77	108	1
SPAC31A2.06	62	837	4	100	4811	257	0.62	67.9855945104484	0.17397630430264	19.0772298044284	0.0567213052002993	0.0965446947754661	3.5637037037037	2.7288619931864	4.64476526564767	24	138	4.37770762931714e-09
SPAC31A2.08	17	332	40	100	777	300	0.17	18.6412113980262	0.427284427284427	46.8535255064326	0.0304181277942569	0.0849909141265902	0.397861445783132	0.236348852961376	0.660379402763606	35	82	1
SPAC31A2.10	1	320	8	100	1783	300	0.01	1.09654184694272	0.179472798653954	19.6799434111985	0.000162665181997369	0.0203883838906621	0.05571875	0.00290032019501309	0.363524884770506	15	86	1
SPAC31A2.12	55	1422	28	100	2450	300	0.55	60.3098015818493	0.580408163265306	63.6441839327568	0.0292556867812502	0.0510113558590606	0.94760900140647	0.716764326140629	1.24977821854699	56	99	1
SPAC31A2.14	84	1149	14	100	3306	300	0.84	92.1095151431881	0.347549909255898	38.1103019400236	0.058196847023718	0.0917225590790471	2.41691906005222	1.92398776260412	3.0323478031533	47	137	7.03189022189471e-05
SPAC31A2.16	9	484	1	100	3850	300	0.09	9.86887662248444	0.125714285714286	13.7850975044227	0.00901540439270425	0.0369497895258903	0.715909090909091	0.347093069119114	1.42256689674678	12	97	1
SPAC13C5.02	252	679	117	100	1441	300	2.52	276.328545429564	0.471200555170021	51.6691127046567	0.320314492908557	0.429937503549924	5.3480412371134	4.6157318428123	6.19539942615441	112	240	1.25542386065509e-40
SPAC13C5.03	36	205	199	100	2441	300	0.36	39.4755064899378	0.0839819746005735	9.20897495384091	0.121202686693543	0.253378273044924	4.28663414634146	2.95855758218938	6.18496364502659	10	126	1.50199422204824e-06
SPAC13C5.04	141	171	741	100	743	300	1.41	154.612400418923	0.230148048452221	25.236696612006	0.655772106376466	1.03664831826494	6.12649122807017	4.87238675037715	7.70229700470854	45	196	2.69077951885566e-28
SPNCRNA.05	0	1	4	100	539	300	0	0	0.00185528756957328	0.203440045814975	0.120791776113059	17.3080587281839	0	0.651067673249387	93.2904365449114	0	100	1
SPAC13C5.07	1	2730	26	100	4610	300	0.01	1.09654184694272	0.592190889370933	64.9362091573452	1.91145926419785e-05	0.00238038858447475	0.0168864468864469	0.000881182720795208	0.109735913744286	37	64	1
SPAC23E2.01	54	3424	291	100	3301	300	0.54	59.2132597349066	1.03726143592851	113.74005707155	0.0119352269556573	0.0207872774551625	0.520601635514019	0.393981841806247	0.686188028794914	78	76	1
SPAC23E2.02	16	1184	13	100	3817	300	0.16	17.5446695510834	0.310191249672518	34.0137685821371	0.00796885335396136	0.02255799639975	0.515810810810811	0.304171132520705	0.861038722578456	27	89	1
SPNCRNA.650	0	15	1	100	1924	300	0	0	0.0077962577962578	0.854892292315007	0.00615095181701504	0.339527058120729	0	0.118344312959369	6.53250059824283	0	100	1
SPRRNA.11	2	0	2	47	4	300	0.0425531914893617	4.66613551890517	0	0	0.246676758328458	19.4460633145857	NA	0.0209937666662517	1.65498411187964	0	49	1
SPNCRNA.651	2	37	157	100	759	300	0.02	2.19308369388543	0.0487483530961792	5.34546091395	0.0090128876830177	0.228949768930256	0.41027027027027	0.0684078175141043	1.73772874618064	4	98	1
SPAC24H6.12c	18	709	33	100	1684	300	0.18	19.7377532449689	0.421021377672209	46.1667559075051	0.015416951961121	0.0412630129342501	0.4275317348378	0.259621471025278	0.694869137812772	34	84	1
SPAC24H6.11c	4	856	138	100	4261	300	0.04	4.38616738777086	0.200891809434405	22.0286275752867	0.00149322160482176	0.0128871030090719	0.19911214953271	0.063626172581455	0.549119459216555	17	87	1
SPAC24H6.10c	72	1970	227	100	992	300	0.72	78.9510129798755	1.98588709677419	217.760830491648	0.0286741525674943	0.0465095738669946	0.362558375634518	0.284447593469544	0.461374972760587	114	58	1
SPNCRNA.653	0	104	1	100	1202	300	0	0	0.086522462562396	9.48755009002017	0.000875817578746582	0.0464543008536173	0	0.0105273272965339	0.55838069626048	7	93	1
SPNCRNA.551	5	51	15	100	427	300	0.05	5.48270923471358	0.11943793911007	13.0968698346788	0.0344886857273855	0.255805408920948	0.418627450980392	0.147266688055936	1.09228909609245	11	94	1
SPAC24H6.02c	1	308	34	100	943	300	0.01	1.09654184694272	0.32661717921527	35.8149404939932	0.00016898420983562	0.0211864450807208	0.0306168831168831	0.0015935210987499	0.199788177111197	24	77	1
SPAC24H6.01c	10	206	79	100	2002	300	0.1	10.9654184694272	0.102897102897103	11.2830979255844	0.0242723056574283	0.094092029453965	0.971844660194175	0.485931559261715	1.88372242966838	10	100	1
SPAPB21F2.02	79	1627	59	100	5340	300	0.79	86.6268059084745	0.304681647940075	33.409617696176	0.038476526652556	0.0611898015337788	2.59287031346036	2.05464652324649	3.26753540190379	41	138	8.7231659746148e-06
SPAPB21F2.03	20	388	92	100	758	300	0.2	21.9308369388543	0.511873350923483	56.1290549622393	0.0319720441736393	0.0821936448926777	0.390721649484536	0.242348094836186	0.623027828286497	40	80	1
SPNCRNA.655	44	676	17	100	2648	300	0.44	48.2478412654795	0.255287009063444	27.9932888418911	0.0473798720288878	0.0891191867253889	1.72355029585799	1.25461901132495	2.3598760644883	29	115	1
SPNCRNA.656	10	42	109	100	301	300	0.1	10.9654184694272	0.13953488372093	15.3005839108286	0.112157616821759	0.491860651814333	0.716666666666667	0.337594426633495	1.48050056196114	13	97	1
SPAC227.04	27	167	76	100	726	300	0.27	29.6066298674533	0.230027548209366	25.2234832561203	0.105317607155541	0.246582266934978	1.17377245508982	0.764605827949227	1.79018725794794	23	104	1
SPAC227.05	30	125	175	100	247	300	0.3	32.8962554082815	0.506072874493927	55.493008448518	0.157818526442118	0.363078557811586	0.5928	0.389811760312031	0.896804037794617	43	87	1
SPAC227.06	107	988	119	100	873	300	1.07	117.329977622871	1.13172966781214	124.098894018259	0.0882481283185852	0.132794349327675	0.945455465587045	0.770406160221249	1.1592946696306	109	98	1
