Cdk9as_3MBPP1_18Cr2_pr_counts	Cdk9as_3MBPP1_18Cr2gb_counts	Cdk9as_3MBPP1_18Cr2term_counts	Cdk9as_3MBPP1_18Cr2pr_map	Cdk9as_3MBPP1_18Cr2gb_map	Cdk9as_3MBPP1_18Cr2term_map	Cdk9as_3MBPP1_18Cr2pr_density	Cdk9as_3MBPP1_18Cr2pr_densityRPKM	Cdk9as_3MBPP1_18Cr2gb_density	Cdk9as_3MBPP1_18Cr2gb_densityRPKM	Cdk9as_3MBPP1_18Cr2pause_index_CI_low	Cdk9as_3MBPP1_18Cr2pause_index_CI_high	Cdk9as_3MBPP1_18Cr2pause_index_scaled	Cdk9as_3MBPP1_18Cr2pause_index_CI_low_scaled	Cdk9as_3MBPP1_18Cr2pause_index_CI_high_scaled	Cdk9as_3MBPP1_18Cr2_ExpPR	Cdk9as_3MBPP1_18Cr2_ExpGB	Cdk9as_3MBPP1_18Cr2Fexact_Pval
SPNCRNA.19	2	5	4	100	225	300	0.02	4.5645697185532	0.0222222222222222	5.07174413172577	0.0538788235081954	2.30512923539502	0.9	0.12122735289344	5.18654077963879	2	100	1
SPAC977.11	11	35	0	100	105	0	0.11	25.1051334520426	0.333333333333333	76.0761619758866	0.150505172823986	0.642080192316701	0.33	0.158030431465185	0.674184201932536	27	84	1
SPAC977.12	0	43	22	0	377	300	NA	NA	0.114058355437666	26.0313657689373	0.00212472625826863	0.113763425024706	NA	NA	NA	0	0	1
SPAC977.15	3	17	2	100	712	300	0.03	6.84685457782979	0.023876404494382	5.44927564714918	0.041196253876563	0.635657655765951	1.25647058823529	0.293317327601128	4.52588250905357	2	101	1
SPAC977.17	53	1141	18	100	3396	300	0.53	120.96109754166	0.335983510011779	76.6810077866489	0.0349072120374223	0.061653930207506	1.57745836985101	1.18544892079086	2.0937674698469	38	115	1
SPNCRNA.137	2	3	5	100	155	300	0.02	4.5645697185532	0.0193548387096774	4.41732553408374	0.0782648165603505	4.86773260028688	1.03333333333333	0.121310465668543	7.54498553044466	1	101	1
SPAC1F8.01	0	5	0	100	1598	300	0	0	0.00312891113892365	0.714106651838735	0.0190383591688732	1.16008855872718	0	0.304232979518594	18.5382151684604	0	100	1
SPNCRNA.139	0	0	5	100	685	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.605	0	173	19	100	2889	300	0	0	0.0598823122187608	13.6668494515352	0.000526053330832881	0.0278290767896377	0	0.0151976807277619	0.803982028452634	5	95	1
SPAC1F8.05	0	61	30	100	977	300	0	0	0.0624360286591607	14.2496802882162	0.00149545868574188	0.0796917976497406	0	0.0146106313596981	0.778588863037965	5	95	1
SPAC1F8.06	6	285	38	100	1314	300	0.06	13.6937091556596	0.21689497716895	49.5016122445837	0.00848017510086411	0.0488111012009466	0.276631578947368	0.111429500825354	0.641377869780439	18	88	1
SPAC1F8.08	3	115	19	100	957	300	0.03	6.84685457782979	0.120167189132706	27.4255756339403	0.00663262821462922	0.0846759579227396	0.249652173913043	0.0634742520140017	0.810348917320618	11	92	1
SPAC11D3.19	39	278	2	100	1210	300	0.39	89.0091095117873	0.229752066115702	52.4359661883384	0.0988463283979015	0.198347511412537	1.69748201438849	1.19604057361461	2.4000048880917	25	114	1
SPNCRNA.608	0	322	7	100	2549	300	0	0	0.126324048646528	28.8307463588491	0.000282462950562625	0.0149153925349038	0	0.00719998060984131	0.380193355714699	11	89	1
SPAC11D3.05	56	1158	6	100	1753	300	0.56	127.807952119489	0.660581859669139	150.763597663565	0.0366256136103091	0.0637028169523839	0.847737478411054	0.642047006588718	1.11671038117529	62	94	1
SPAC11D3.06	6	588	16	100	1521	300	0.06	13.6937091556596	0.386587771203156	88.2303416998448	0.00412963627740603	0.0235382561967886	0.155204081632653	0.0628117677793457	0.358016876753155	29	77	1
SPAC11D3.09	1	157	22	100	1729	300	0.01	2.2822848592766	0.0908039329091961	20.7240441241426	0.000330578476845718	0.0417502948353405	0.110127388535032	0.00571570186466247	0.721862597703038	8	93	1
SPAC11D3.10	5	188	0	100	4126	300	0.05	11.411424296383	0.0455647115850703	10.3991651367911	0.00966889966985715	0.0668922882832213	1.09734042553191	0.398938800378306	2.75997581456571	4	101	1
SPAC11D3.13	0	92	22	100	920	300	0	0	0.1	22.822848592766	0.000990331644204421	0.0525735578030503	0	0.00911105112668067	0.483676731788063	9	91	1
SPNCRNA.609	15	149	4	100	4138	300	0.15	34.234272889149	0.0360077332044466	8.21799043093797	0.0569307620422949	0.175105428215225	4.16577181208054	2.35579493331016	7.24586261954601	3	112	0.120292982836834
SPNCRNA.147	1	4	9	100	333	300	0.01	2.2822848592766	0.012012012012012	2.74148331444636	0.0106420142837121	2.34682041637603	0.8325	0.0354379075647613	7.81491198653217	1	100	1
SPAC11D3.15	85	1728	8	100	3921	300	0.85	193.994213038511	0.4407039020658	100.581184310889	0.0393133294492743	0.0614709220995583	1.92873263888889	1.54147564770604	2.41027485552368	56	129	0.0763495486685973
SPAC11D3.17	16	1017	30	100	3291	300	0.16	36.5165577484256	0.309024612579763	70.528219443461	0.00927198782235487	0.0262780332922947	0.517758112094395	0.305141119233699	0.864810075649418	27	89	1
SPNCRNA.611	15	147	15	100	1474	300	0.15	34.234272889149	0.0997286295793759	22.7609141325414	0.0576847093708565	0.177553892778195	1.50408163265306	0.850272616126424	2.61714437955059	10	105	1
SPAC5H10.01	3	40	7	100	687	300	0.03	6.84685457782979	0.0582241630276565	13.2884125722073	0.018530119723358	0.251918538045674	0.51525	0.127301922499469	1.73068035637378	5	98	1
SPNCRNA.613	1	26	10	100	416	300	0.01	2.2822848592766	0.0625	14.2642803704787	0.00194013628088687	0.264049615251165	0.16	0.00807096692848937	1.09844639944485	5	96	1
SPAC5H10.03	1	1619	304	100	3193	300	0.01	2.2822848592766	0.507046664578766	115.722492551482	3.22241924659748e-05	0.00401532365222674	0.0197220506485485	0.00102891846543858	0.1282092842156	33	68	1
SPAC5H10.04	143	295	7	100	2498	300	1.43	326.366734876553	0.118094475580464	26.9525233581504	0.394992239842591	0.594675340509249	12.1089491525424	9.86690615126792	14.854990005921	25	218	1.44476945219347e-61
SPAC5H10.07	4	46	18	100	453	300	0.04	9.12913943710639	0.101545253863135	23.1755195423231	0.0266310116248603	0.25172176112893	0.393913043478261	0.120638482660617	1.14029957791405	9	95	1
SPNCRNA.614	14	220	56	100	1475	300	0.14	31.9519880298724	0.149152542372881	34.0408589180238	0.0355775546695725	0.1117125591616	0.938636363636363	0.524768931376194	1.6477602476336	14	100	1
SPAC5H10.10	12	410	7	100	1554	300	0.12	27.3874183113192	0.263835263835264	60.2147227994469	0.0157179150301178	0.0532039493193222	0.454829268292683	0.24425639956803	0.826789372422266	23	89	1
SPAC5H10.11	4	29	1	100	1565	300	0.04	9.12913943710639	0.0185303514376997	4.22915405233363	0.0411868094997137	0.411235858753941	2.15862068965517	0.644573568670519	6.43584118949918	1	103	1
SPNCRNA.616	2	0	0	100	497	300	0.02	4.5645697185532	0	0	0.246676758328458	19.4460633145857	NA	1.22598348889243	96.6469346734911	0	102	1
SPNCRNA.617	17	110	1	100	3975	300	0.17	38.7988426077022	0.0276729559748428	6.31575684328115	0.0895161472098689	0.263327799343887	6.14318181818182	3.55826685159229	10.4672800239195	3	114	0.000309489037727782
SPSNORNA.49	13	32	35	100	159	300	0.13	29.6697031705958	0.20125786163522	45.9327770420447	0.202547186418543	0.80247492861187	0.6459375	0.322050026405484	1.27593513649287	18	95	1
SPNCRNA.141	9	59	19	100	604	300	0.09	20.5405637334894	0.097682119205298	22.2938421684303	0.0706542358311219	0.318252389293506	0.92135593220339	0.426751584419976	1.92224443133277	9	100	1
SPAC13G6.03	9	452	9	100	3896	300	0.09	20.5405637334894	0.116016427104723	26.4782535008476	0.00964918050281149	0.0395851175739702	0.775752212389381	0.375932072389536	1.54223618068188	11	98	1
SPAC13G6.04	23	294	112	100	505	300	0.23	52.4925517633618	0.582178217821782	132.869653193529	0.0499247903458721	0.121514190067334	0.395068027210884	0.252120191246654	0.613646659840038	45	78	1
SPAC13G6.08	0	16	12	100	2130	300	0	0	0.00751173708920188	1.71439238255519	0.00576104614150375	0.317064970660191	0	0.12271028281403	6.75348387506206	0	100	1
SPAC13G6.09	5	255	2	100	1572	300	0.05	11.411424296383	0.162213740458015	37.0217963813952	0.00715194220827631	0.0491377239346059	0.308235294117647	0.112428531514104	0.772445020252004	14	91	1
SPAC13G6.13	0	0	0	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	22	1399	20	100	1272	300	0.22	50.2102669040852	1.0998427672956	251.015449538362	0.0100659894337554	0.0243289999092191	0.200028591851322	0.128039385597369	0.309464878845267	63	59	1
SPAC24B11.05	59	1129	36	100	1489	300	0.59	134.654806697319	0.758226997985225	173.048999739643	0.0398529404580157	0.068378462556485	0.778131089459699	0.593410283419853	1.01815530746606	68	91	1
SPNCRNA.622	3	174	3	100	2388	300	0.03	6.84685457782979	0.0728643216080402	16.6297137987491	0.00440684336367598	0.0556164253145262	0.411724137931034	0.105235419524583	1.32812023651089	6	97	1
SPNCRNA.142	1	197	52	100	597	300	0.01	2.2822848592766	0.32998324958124	75.3115774334154	0.000263763039493198	0.0332112399149972	0.0303045685279188	0.00157466534577439	0.198271102292533	25	76	1
SPAC24B11.09	1	1202	156	100	2741	300	0.01	2.2822848592766	0.438526085370303	100.084144503848	4.33950522186517e-05	0.00540999290334301	0.0228036605657238	0.00118945838131324	0.148287905480632	30	71	1
SPAC24B11.14	3	12	124	100	596	300	0.03	6.84685457782979	0.0201342281879195	4.59520441465087	0.0561284050394271	0.94654079953273	1.49	0.334525294034985	5.64138316521507	2	101	1
SPAC24B11.13	39	1855	16	100	2075	300	0.39	89.0091095117873	0.893975903614458	204.030766937739	0.0151001701924224	0.029152831196733	0.436253369272237	0.313328531492764	0.604921247332209	65	74	1
SPNCRNA.625	2	26	1	100	1669	300	0.02	4.5645697185532	0.0155781905332534	3.55538683889704	0.0126267060000113	0.332593862792864	1.28384615384615	0.210739723140188	5.55099157001289	1	101	1
SPNCRNA.627	3	42	18	100	761	300	0.03	6.84685457782979	0.0551905387647832	12.5960530998183	0.0176841597743658	0.239326683558914	0.543571428571429	0.134576455882924	1.82127606188334	5	98	1
SPNCRNA.144	2	38	16	100	431	300	0.02	4.5645697185532	0.0881670533642691	20.1222330980303	0.00878433500901352	0.222638928736117	0.226842105263158	0.0378604838888483	0.959573782852663	8	94	1
SPNCRNA.628	5	35	5	100	1566	300	0.05	11.411424296383	0.0223499361430396	5.10089208650581	0.0492607912738172	0.381281846450909	2.23714285714286	0.771423991347977	5.97087371542123	2	103	1
SPNCRNA.145	1	14	6	100	719	300	0.01	2.2822848592766	0.019471488178025	4.44394826562898	0.00350210863509423	0.514391103811047	0.513571428571429	0.0251801610863275	3.69847203640143	1	100	1
SPAC806.05	1	176	4	100	2921	300	0.01	2.2822848592766	0.0602533378979801	13.7515280805437	0.000295073685084528	0.0372063425099049	0.165965909090909	0.00861910234131907	1.08679726471432	5	96	1
SPAC806.07	56	551	292	100	469	300	0.56	127.807952119489	1.17484008528785	268.131973872368	0.0764285396530962	0.13484482420407	0.476660617059891	0.358449850973021	0.632422225517089	84	72	1
SPNCRNA.630	2	207	0	100	2184	300	0.02	4.5645697185532	0.0947802197802198	21.6315460563304	0.0016619808267685	0.039312731318444	0.211014492753623	0.036297661256624	0.858590051994817	8	94	1
SPNCRNA.631	1	5	1	100	863	300	0.01	2.2822848592766	0.00579374275782155	1.32229713747196	0.00883974757390515	1.74105855180368	1.726	0.0762870215628015	15.0253353020658	0	101	1
SPAC1F5.11c	12	1636	51	100	11254	300	0.12	27.3874183113192	0.145370534920917	33.1776970834949	0.00396550947352616	0.0132409614967679	0.825476772616137	0.446278436150634	1.49013780684626	14	98	1
SPNCRNA.633	5	25	1	100	947	300	0.05	11.411424296383	0.0263991552270327	6.02503922723495	0.0672763464351095	0.549212697171498	1.894	0.637107000740487	5.20104424221409	2	103	1
SPAC1F5.09c	3	67	58	100	1569	300	0.03	6.84685457782979	0.0427023581899299	9.7458945552283	0.0112591825313352	0.147258802590987	0.702537313432836	0.176656573916649	2.31049061265259	4	99	1
SPAC1F5.08c	18	272	28	100	1608	300	0.18	41.0811274669788	0.169154228855721	38.6058135400022	0.0397882428979765	0.108664848592759	1.06411764705882	0.639794945799461	1.74733076537156	17	101	1
SPAC1F5.07c	16	226	9	100	1526	300	0.16	36.5165577484256	0.148099606815203	33.8005490299155	0.0411318037197962	0.120011051069638	1.08035398230088	0.62767132476409	1.83136863932268	14	102	1
SPAC1F5.05c	23	194	26	100	731	300	0.23	52.4925517633618	0.265389876880985	60.5695297810752	0.0750224803102349	0.185755435815508	0.866649484536082	0.548414331067817	1.35787223581136	25	98	1
SPAC1F5.04c	14	994	35	100	5667	300	0.14	31.9519880298724	0.175401446973707	40.03160667233	0.00798380259698175	0.0243732541454297	0.798169014084507	0.452442093170956	1.3812323124215	17	97	1
SPAC1F5.03c	13	1067	2	100	1926	300	0.13	29.6697031705958	0.553997923156802	126.438107209145	0.00675169393326276	0.0215174222096919	0.234657919400187	0.130037625154641	0.414425551758667	40	73	1
SPNCRNA.148	0	0	1	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	1	3	4	100	506	300	0.01	2.2822848592766	0.00592885375494071	1.35313331577664	0.0133674946082822	3.55733427163736	1.68666666666667	0.0676395227179079	18.000111414485	0	101	1
SPAC18B11.09c	2	144	10	100	960	300	0.02	4.5645697185532	0.15	34.234272889149	0.00238191522295311	0.0567291238672566	0.133333333333333	0.0228663861403499	0.544599589125663	13	89	1
SPAC18B11.08c	21	244	86	100	553	300	0.21	47.9279820448086	0.44122965641953	100.701176431011	0.0536256849944632	0.136750447115289	0.47594262295082	0.296550038019382	0.756229972547546	37	84	1
SPAC18B11.07c	57	688	62	100	957	300	0.57	130.090236978766	0.718913270637409	164.076487270878	0.0626189257442606	0.109370098797734	0.792863372093023	0.599263119372574	1.04667184549431	65	92	1
SPAC18B11.03c	34	357	115	100	1723	300	0.34	77.5976852154043	0.207196749854904	47.2882005085169	0.0658809599164524	0.137014382835171	1.64095238095238	1.13512893936047	2.36075781624999	22	112	1
SPAC18B11.02c	19	534	12	100	1187	300	0.19	43.3634123262554	0.449873631002527	102.673977662486	0.0218618869806843	0.0572160699434141	0.422340823970037	0.259500598460723	0.679154750228325	36	83	1
SPAC12G12.16c	8	110	4	100	1991	300	0.08	18.2582788742128	0.0552486187845304	12.6093086147878	0.032916398383069	0.153903576897302	1.448	0.655365491806903	3.06422021602528	5	103	1
SPNCRNA.637	2	32	34	100	1253	300	0.02	4.5645697185532	0.0255387071029529	5.82866045465691	0.0103607343252721	0.266746389187881	0.783125	0.129820001095659	3.34233225652414	2	100	1
SPAC12G12.14c	7	289	108	100	1844	300	0.07	15.9759940149362	0.156724511930586	35.768998065669	0.0105108534649118	0.052872414180939	0.446643598615917	0.193820137892973	0.974967317496515	14	93	1
SPAC12G12.13c	16	620	9	100	2129	300	0.16	36.5165577484256	0.291216533583842	66.4639085369418	0.015168889324645	0.0432221775771234	0.54941935483871	0.322945653721692	0.920200160616957	26	90	1
SPAC12G12.11c	2	218	5	100	1362	300	0.02	4.5645697185532	0.160058737151248	36.5299632395226	0.00157866846357044	0.0373125537128079	0.124954128440367	0.0215014644738294	0.508196981568444	14	88	1
SPAC12G12.17	3	73	22	100	508	300	0.03	6.84685457782979	0.143700787401575	32.7966131352739	0.0103561834799021	0.134807201761393	0.208767123287671	0.0526094120779025	0.684820584947877	12	91	1
SPAC12G12.07c	10	600	35	100	1327	300	0.1	22.822848592766	0.452147701582517	103.192985347849	0.00842218357728474	0.0319470072731815	0.221166666666667	0.111762376070568	0.423936786515119	34	76	1
SPAC12G12.06c	9	404	43	100	1638	300	0.09	20.5405637334894	0.246642246642247	56.2907865169564	0.0107866200016088	0.0443273314787718	0.36490099009901	0.176684835626352	0.726081689622282	21	88	1
SPAC12G12.05c	17	314	7	100	1251	300	0.17	38.7988426077022	0.250999200639488	57.2851675310033	0.0321382116204581	0.0899312196320265	0.677292993630573	0.402049027371931	1.12503955759665	23	94	1
SPNCRNA.639	0	14	3	100	1545	300	0	0	0.00906148867313916	2.06808984012119	0.0065974714867639	0.365411596620526	0	0.101930934470502	5.64560916778713	0	100	1
SPNCRNA.640	4	2	1	100	565	300	0.04	9.12913943710639	0.00353982300884956	0.807888445761628	0.317658834507675	15.6695269662331	11.3	1.79477241496836	88.5328273592172	0	104	1
SPAC12G12.01c	2	391	3	100	3100	300	0.02	4.5645697185532	0.126129032258065	28.786238063779	0.000882735655016071	0.0207269191649359	0.158567774936061	0.0273648053054982	0.642534494113014	11	91	1
SPAC630.03	23	1264	14	100	1646	300	0.23	52.4925517633618	0.767922235722965	175.261729169236	0.0117628069511172	0.0278933366510445	0.299509493670886	0.193615802415389	0.459124321276193	53	70	1
SPAC630.05	17	629	4	100	2562	300	0.17	38.7988426077022	0.245511319281811	56.03267667779	0.0161535025799729	0.0445790195321629	0.692432432432432	0.413852736098905	1.14211448041401	23	94	1
SPNCRNA.641	1	4	6	100	428	300	0.01	2.2822848592766	0.00934579439252336	2.13297650399682	0.0106420142837121	2.34682041637603	1.07	0.0455478211342878	10.0443913820894	0	101	1
SPAC630.15	0	103	6	100	2081	300	0	0	0.0494954348870735	11.2962681646079	0.000884339071062789	0.046909299210728	0	0.0184030960688166	0.976182516575249	4	96	1
SPAC630.10	641	70	25	100	1094	300	6.41	1462.9445947963	0.0639853747714808	14.6032852056089	7.10864957763997	11.814937611808	100.179142857143	77.7686263793812	129.255417473179	44	697	3.62689523602175e-302
SPAC630.11	2	170	32	100	944	300	0.02	4.5645697185532	0.180084745762712	41.1004688640913	0.00202067483634557	0.0479604304137122	0.111058823529412	0.0190751704551021	0.452746463105443	15	87	1
SPAC630.12	12	207	13	100	1506	300	0.12	27.3874183113192	0.137450199203187	31.3700508545987	0.0308643763190412	0.106335108343758	0.87304347826087	0.46481750736476	1.601406731657	13	99	1
SPAC1751.04	0	554	30	100	1652	300	0	0	0.335351089588378	76.5366714309464	0.000164127743044606	0.00865901904023497	0	0.00271139031509689	0.143046994544682	25	75	1
SPAC1751.03	93	1706	37	100	1374	300	0.93	212.252491912724	1.24163027656477	283.37539810232	0.0439875398418102	0.0674850214481209	0.749015240328253	0.604388797426472	0.927244194697181	106	87	1
SPAC31A2.02	3	109	37	100	783	300	0.03	6.84685457782979	0.139208173690932	31.7712707102362	0.00699175106130252	0.0894273075487813	0.215504587155963	0.0547454108099987	0.700215818106958	12	91	1
SPAC31A2.03	21	351	11	100	898	300	0.21	47.9279820448086	0.39086859688196	89.2073480630385	0.0374963116942353	0.094494930939029	0.537264957264957	0.336716879014233	0.84856447983248	34	87	1
SPAC31A2.06	9	481	1	100	4811	257	0.09	20.5405637334894	0.0999792143005612	22.8181047040541	0.00907126223075404	0.0371818527904835	0.90018711018711	0.436418425921577	1.78881893775016	9	100	1
SPAC31A2.08	5	204	28	100	777	300	0.05	11.411424296383	0.262548262548263	59.9209924443277	0.00891930000737436	0.0615790315358737	0.190441176470588	0.0693029610572988	0.478469075033738	21	84	1
SPAC31A2.10	1	162	2	100	1783	300	0.01	2.2822848592766	0.0908581043185642	20.7364075828833	0.000320432147040528	0.0404502650179747	0.110061728395062	0.00571330518173261	0.721228225270489	8	93	1
SPAC31A2.12	8	609	12	100	2450	300	0.08	18.2582788742128	0.248571428571429	56.7310807877326	0.00607793631711845	0.0271523752636037	0.32183908045977	0.148909439769402	0.66523319395829	21	87	1
SPAC31A2.14	53	970	23	100	3306	300	0.53	120.96109754166	0.29340592861464	66.9635908499183	0.0410143108681519	0.072606159963773	1.80637113402062	1.3559331173011	2.40035964840234	34	119	1
SPAC31A2.16	3	237	2	100	3850	300	0.03	6.84685457782979	0.0615584415584416	14.0493899129494	0.00324430801985159	0.0407005097325352	0.487341772151899	0.124905858764286	1.5669696247026	5	98	1
SPAC13C5.02	31	234	51	100	1441	300	0.31	70.7508306375745	0.162387231089521	37.0613918855464	0.0893857173169551	0.195287581615659	1.90901709401709	1.28804818653732	2.81409405108165	18	113	1
SPAC13C5.03	16	131	195	100	2441	300	0.16	36.5165577484256	0.0536665301106104	12.2482309121358	0.0700443402440895	0.2098538007141	2.98137404580153	1.70978234535822	5.12253127543119	5	111	1
SPAC13C5.04	50	343	231	100	743	300	0.5	114.11424296383	0.46164199192463	105.359852857587	0.107088791035585	0.197913939705265	1.08309037900875	0.795669717394399	1.47050057201012	47	103	1
SPNCRNA.05	1	0	1	100	539	300	0.01	2.2822848592766	0	0	0.0577765545925511	8.27870929775896	NA	0.311415629253851	44.6222431149208	0	101	1
SPAC13C5.07	0	1029	16	100	4610	300	0	0	0.223210412147505	50.9429744077141	8.83478427316089e-05	0.00465838284050492	0	0.00407283554992717	0.214751448947277	18	82	1
SPAC23E2.01	23	2038	75	100	3301	300	0.23	52.4925517633618	0.61738867009997	140.905681405808	0.00730648217604599	0.017273279452921	0.372536800785083	0.241186976631278	0.570190954740923	46	77	1
SPAC23E2.02	11	486	24	100	3817	300	0.11	25.1051334520426	0.12732512444328	29.0592203722407	0.011818715584091	0.0421680666064122	0.863930041152263	0.451120373844752	1.60955510236675	12	99	1
SPNCRNA.650	0	50	10	100	1924	300	0	0	0.025987525987526	5.93109370913877	0.00182593230767121	0.0975451588739486	0	0.0351309375995942	1.87676885673477	2	98	1
SPRRNA.11	0	0	0	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	1	12	33	100	759	300	0.01	2.2822848592766	0.0158102766798419	3.6083555087377	0.0040448521341888	0.610617545978525	0.6325	0.030700427698493	4.634587173977	1	100	1
SPAC24H6.12c	4	298	6	100	1684	300	0.04	9.12913943710639	0.176959619952494	40.3872261320918	0.00426948271132939	0.037211278471059	0.226040268456376	0.0718980888587869	0.626637929452633	15	89	1
SPAC24H6.11c	0	1672	147	100	4261	300	0	0	0.39239615113823	89.5559794581195	5.43674521109177e-05	0.00286594103491465	0	0.0023165971344462	0.122117747497713	28	72	1
SPAC24H6.10c	64	1047	78	100	992	300	0.64	146.066230993702	1.0554435483871	240.882283030504	0.0470872542571147	0.0792025499914085	0.606380133715377	0.467105562230577	0.785689295914773	84	80	1
SPNCRNA.653	1	30	2	100	1202	300	0.01	2.2822848592766	0.0249584026622296	5.69621845077354	0.00168902937199498	0.227153129587376	0.400666666666667	0.0203021330513796	2.73038061764026	2	99	1
SPNCRNA.551	0	15	6	100	427	300	0	0	0.0351288056206089	8.01739411923863	0.00615095181701504	0.339527058120729	0	0.0262645642586542	1.44978053817551	3	97	1
SPAC24H6.02c	0	58	11	100	943	300	0	0	0.0615058324496288	14.0373830156991	0.00157310823633282	0.0838787505311741	0	0.0148344106686185	0.790976617508972	5	95	1
SPAC24H6.01c	2	123	20	100	2002	300	0.02	4.5645697185532	0.0614385614385614	14.0220298546964	0.00278388935609129	0.0665575074137385	0.325528455284553	0.0557334649089476	1.33248129842304	5	97	1
SPAPB21F2.02	21	1188	108	100	5340	300	0.21	47.9279820448086	0.22247191011236	50.7744272063782	0.0111844819420674	0.0276476424596297	0.943939393939394	0.597251335706398	1.47638410734423	22	99	1
SPAPB21F2.03	12	228	66	100	758	300	0.12	27.3874183113192	0.300791556728232	68.6492015719082	0.0280663982348748	0.0963798790259046	0.398947368421053	0.212743298620351	0.730559483016357	25	87	1
SPNCRNA.655	64	183	7	100	2648	300	0.64	146.066230993702	0.0691087613293051	15.7725879625233	0.260390099092786	0.469016674067176	9.2607650273224	6.89512982397697	12.4195615292988	10	154	3.19075608069834e-26
SPNCRNA.656	5	14	26	100	301	300	0.05	11.411424296383	0.0465116279069767	10.61527841524	0.112619164707253	1.05848657610488	1.075	0.338983685768832	3.18604459407568	4	101	1
SPAC227.04	10	61	31	100	726	300	0.1	22.822848592766	0.0840220385674931	19.1762226468144	0.0789961829816746	0.330479431030538	1.19016393442623	0.573512288446957	2.39928066928171	8	102	1
SPAC227.05	12	39	81	100	247	300	0.12	27.3874183113192	0.157894736842105	36.03607672542	0.152678856281521	0.608204082376364	0.76	0.377116775015357	1.50226408346962	15	97	1
SPAC227.06	47	508	93	100	873	300	0.47	107.267388386	0.581901489117984	132.806495820448	0.0678013306430483	0.125875767424652	0.807696850393701	0.591905616513812	1.09889544961721	54	93	1
SPNCRNA.657	1	30	6	100	607	300	0.01	2.2822848592766	0.0494233937397035	11.2798263226191	0.00168902937199498	0.227153129587376	0.202333333333333	0.0102524082880095	1.37881949659537	4	97	1
SPAC227.09	6	173	4	100	2018	300	0.06	13.6937091556596	0.0857284440039643	19.5656729759589	0.0138886180223074	0.0809253537576565	0.699884393063584	0.280272311690164	1.63307363882951	8	98	1
SPAC227.10	38	198	17	100	920	300	0.38	86.7268246525107	0.215217391304348	49.118739362692	0.133495543767521	0.274864178614319	1.76565656565657	1.22815900266119	2.52875044325174	24	114	1
SPAC227.12	7	303	9	100	1511	300	0.07	15.9759940149362	0.200529450694904	45.7665329160033	0.0100296844684238	0.0504052736909819	0.349075907590759	0.151548532317883	0.761623685470737	17	90	1
