V4	ePRO_Lsk1as_Cdk9as_3MBPP1r1_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1term_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1term_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_density	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_density	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1r1_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC1039.09	0	40	3	100	3060	300	0	0	0.0130718954248366	4.48323093757161	0.00228497423961751	0.122491520736586	0	0.0699202117322959	3.74824053453953	1	99	1
SPAC1039.10	0	28	7	100	888	300	0	0	0.0315315315315315	10.814280031845	0.00327211992868732	0.176722244865318	0	0.0290564249667434	1.56929353440402	3	97	1
SPAC1039.11c	0	160	20	100	3471	300	0	0	0.0460962258715068	15.8094919838307	0.000568854652685002	0.0301030296229733	0	0.0197449449946964	1.0448761582134	4	96	1
SPAC105.01c	22	341	10	100	3151	300	0.22	75.4527766793302	0.108219612821327	37.1157739933233	0.0408553560064619	0.100918640233749	2.03290322580645	1.28735226776362	3.17994635376542	11	111	1
SPAC105.02c	23	448	90	100	1418	300	0.23	78.8824483465724	0.315937940761636	108.356340403705	0.0329512360404481	0.0792772795413434	0.727991071428571	0.467248527053553	1.12415182389625	29	94	1
SPAC105.03c	2	322	24	100	2487	294	0.02	6.85934333448456	0.129473260956976	44.4050774769608	0.00107105296032098	0.0251934566986234	0.154472049689441	0.0266370871231828	0.626561268094765	11	91	1
SPAC1071.01c	27	592	10	100	2319	300	0.27	92.6011350155416	0.255282449331608	87.553498361683	0.0303806403055192	0.067987796068625	1.05765202702703	0.704527048684989	1.57663699083141	25	102	1
SPAC1071.02	5	315	4	100	3405	300	0.05	17.1483583362114	0.092511013215859	31.7282400934308	0.00579989239900342	0.039700817412003	0.54047619047619	0.197486336186066	1.3518128328787	8	97	1
SPAC1071.03c	31	305	26	100	1677	300	0.31	106.319821684511	0.181872391174717	62.3762587065531	0.0689553865970502	0.148989941145179	1.70449180327869	1.15638183323253	2.49856131300466	20	111	1
SPAC1071.04c	7	29	55	100	331	300	0.07	24.007701670696	0.0876132930513595	30.0484828852043	0.096502847735673	0.576435985986173	0.798965517241379	0.319424426005077	1.90800311361423	8	99	1
SPAC1071.05	9	205	52	100	1458	300	0.09	30.8670450051805	0.140603566529492	48.2224068439415	0.0210971409756841	0.0880603831889548	0.64009756097561	0.307596315425474	1.28392038689496	13	96	1
SPAC1071.06	37	178	11	100	1678	300	0.37	126.897851687964	0.106078665077473	36.3814992115093	0.143493646063737	0.299939454103633	3.48797752808989	2.40782338094951	5.03298403985896	13	124	0.000168984098734193
SPAC1071.07c	147	160	189	100	468	300	1.47	504.161735084615	0.341880341880342	117.253732213411	0.729965356253332	1.15628518818096	4.29975	3.4162378672656	5.41141468068688	62	185	5.07644921888856e-17
SPAC1071.08	14	45	252	100	320	300	0.14	48.0154033413919	0.140625	48.2297578205946	0.163084175452986	0.584485926586072	0.995555555555556	0.521869361449556	1.87035496507543	14	100	1
SPAC1071.09c	284	90	214	100	2232	300	2.84	974.026753496807	0.0403225806451613	13.8293212388802	2.47384524580293	4.02883269687558	70.432	55.2162258863214	89.923545794263	14	370	5.011656222261e-209
SPAC1071.10c	149	8011	774	100	4273	300	1.49	511.0210784191	1.87479522583665	642.993206793305	0.0157614053479658	0.0219365448500598	0.794753463987018	0.673484850518577	0.937348561443054	162	87	1
SPAC1071.11	9	312	13	100	2136	300	0.09	30.8670450051805	0.146067415730337	50.0963277237636	0.0139350658540472	0.0575385454410013	0.616153846153846	0.297653006642448	1.22902333061979	13	96	1
SPAC1071.12c	0	24	16	100	736	300	0	0	0.0326086956521739	11.1837119583987	0.0038226010111885	0.207313917589234	0	0.0281343434423474	1.52583043345676	3	97	1
SPAC1071.13	2	358	20	100	3378	300	0.02	6.85934333448456	0.105979869745411	36.3476156563865	0.000963779859529806	0.0226471927765658	0.188715083798883	0.0325564836549168	0.765022171992394	9	93	1
SPAC1093.01	7	1201	19	100	5223	300	0.07	24.007701670696	0.229944476354585	78.8634055592184	0.00254798991547391	0.0126225956792794	0.304421315570358	0.133081513285202	0.659278172328761	20	87	1
SPAC1093.02	19	372	86	100	992	300	0.19	65.1637616776033	0.375	128.612687521585	0.0312671259725254	0.082444083231138	0.506666666666667	0.310169889647452	0.817845305652888	32	87	1
SPAC1093.03	15	327	10	100	3353	300	0.15	51.4450750086342	0.0975246048314942	33.4477374049575	0.0263196304128253	0.0785959577420605	1.53807339449541	0.882497207742034	2.63532246309129	10	105	1
SPAC1093.04c	6	236	0	100	4949	300	0.06	20.5780300034537	0.0476864012931905	16.3548699428001	0.0102216142169741	0.0590663778767575	1.25822033898305	0.50586768759805	2.92319504112073	4	102	1
SPAC1093.05	30	535	48	100	2479	300	0.3	102.890150017268	0.215812827753126	74.0167140772336	0.0381059127452558	0.0820258608991277	1.39009345794393	0.944645576954892	2.03342109168938	23	107	1
SPAC1093.06c	4	616	8	100	12942	300	0.04	13.7186866689691	0.047596971101839	16.3241983234527	0.00207299817201971	0.0179274883238531	0.84038961038961	0.268287423422791	2.32017553887307	4	100	1
SPAC1093.07	0	36	6	100	1791	300	0	0	0.0201005025125628	6.89381239646689	0.00254044356681343	0.136449384104687	0	0.0454993442816285	2.44380846931495	1	99	1
SPAC10F6.01c	20	2342	32	100	4905	300	0.2	68.5934333448456	0.477471967380224	163.757207842639	0.00535010632450231	0.0134779371593952	0.418872758326217	0.262422715216838	0.661092817668334	38	82	1
SPAC10F6.02c	4	369	7	100	3591	300	0.04	13.7186866689691	0.102756892230576	35.2422401897076	0.00345267961623448	0.03000526619714	0.389268292682927	0.12398572501898	1.0774891091393	9	95	1
SPAC10F6.03c	42	973	64	100	2113	300	0.42	144.046210024176	0.460482725982016	157.930455855501	0.0312845416093243	0.0593432558394822	0.912086330935252	0.661042364205022	1.25392299588826	44	98	1
SPAC10F6.04	0	158	5	100	2665	300	0	0	0.0592870544090056	20.3335130740818	0.000576065494010128	0.0304862718600521	0	0.0153521454153699	0.812459145070388	5	95	1
SPAC10F6.05c	1	156	50	100	2025	300	0.01	3.42967166724228	0.077037037037037	26.421174325422	0.000332685341111703	0.0420203928819176	0.129807692307692	0.00673687815751199	0.850912955858832	7	94	1
SPAC10F6.06	146	565	298	100	890	300	1.46	500.732063417373	0.634831460674157	217.726347414819	0.214493128346915	0.311165043466185	2.29982300884956	1.90898884228754	2.76936888684905	95	151	1.04273127815352e-05
SPAC10F6.07c	16	23	10	100	366	300	0.16	54.8747466758765	0.0628415300546448	21.552581515457	0.350996988526575	1.3700879449501	2.54608695652174	1.28464897800726	5.01452187851736	6	110	1
SPAC10F6.08c	23	89	8	100	983	300	0.23	78.8824483465724	0.0905391658189217	31.0519611784906	0.158987402585341	0.416861365052667	2.54033707865169	1.5628461674139	4.09774721846772	10	113	1
SPAC10F6.09c	5	583	49	100	3689	300	0.05	17.1483583362114	0.158037408511792	54.2016422337286	0.00314458946452462	0.0213691482817458	0.316380789022298	0.116003905346313	0.788307880113601	14	91	1
SPAC10F6.10	3	182	31	100	1670	300	0.03	10.2890150017268	0.108982035928144	37.3772600861135	0.00421504862907186	0.0531433410988334	0.275274725274725	0.0703913121055	0.887493796350518	10	93	1
SPAC10F6.11c	2	263	12	100	2545	300	0.02	6.85934333448456	0.103339882121807	35.442186580932	0.0013100216741763	0.0308842534440525	0.193536121673004	0.0333400516077869	0.786004250151135	9	93	1
SPAC10F6.12c	19	73	11	100	987	300	0.19	65.1637616776033	0.0739614994934144	25.3663659279318	0.15198645690719	0.441200810534868	2.56890410958904	1.50010632967397	4.35465199997915	8	111	1
SPAC10F6.13c	52	720	111	100	1199	300	0.52	178.342926696599	0.600500417014178	205.95192664007	0.0539262856795429	0.0964764736162018	0.865944444444444	0.64657616529772	1.15675291865826	57	95	1
SPAC10F6.14c	13	235	66	100	1579	300	0.13	44.5857316741496	0.148828372387587	51.0432452059491	0.0302741412361952	0.098979059448037	0.873489361702128	0.478028690119522	1.5628793486845	14	99	1
SPAC10F6.15	3	4	0	100	1234	300	0.03	10.2890150017268	0.00324149108589951	1.1117250136928	0.133893566820236	3.94140253599159	9.255	1.65224661456171	48.6369072941363	0	103	1
SPAC10F6.16	20	273	125	100	1061	300	0.2	68.5934333448456	0.257304429783223	88.2469712683452	0.0452146047449157	0.117416482598179	0.777289377289377	0.479726956343555	1.24578888036668	24	96	1
SPAC10F6.17c	10	181	8	100	1801	300	0.1	34.2967166724228	0.100499722376458	34.4681050400251	0.027563997365218	0.107337587373209	0.995027624309392	0.496427592547577	1.93314994859149	10	100	1
SPAC110.01	1	1689	97	100	5792	300	0.01	3.42967166724228	0.291609116022099	100.012352313056	3.08893879356651e-05	0.00384876839232482	0.0342924807578449	0.00178911334923372	0.222920665283454	22	79	1
SPAC110.02	36	420	112	100	3853	300	0.36	123.468180020722	0.109005969374513	37.3854684724048	0.0600356935184076	0.121832454755868	3.30257142857143	2.31317527126424	4.6942044817436	13	123	0.000334744323179337
SPAC110.03	23	699	48	100	1448	300	0.23	78.8824483465724	0.482734806629834	165.562188909002	0.021202902928796	0.0506042163128802	0.476452074391989	0.307018034408967	0.732749052210506	40	83	1
SPAC110.04c	13	2078	108	100	2755	300	0.13	44.5857316741496	0.75426497277677	258.688120672576	0.00347286743428326	0.0110286949770225	0.17235322425409	0.0956774978145037	0.303840546616971	48	65	1
SPAC110.05	0	45	47	100	1707	300	0	0	0.0263620386643234	9.04131370977754	0.00202982372305869	0.108604324102592	0	0.0346490909526118	1.85387581243124	2	98	1
SPAC1142.01	42	326	7	100	1904	300	0.42	144.046210024176	0.171218487394958	58.7223195126567	0.0921487211738995	0.179508275174029	2.45300613496933	1.75451165115105	3.41783755931351	20	122	0.0573002604765128
SPAC1142.02c	60	542	88	100	1080	300	0.6	205.780300034537	0.501851851851852	172.118707744937	0.0839879525076762	0.145615084717703	1.19557195571956	0.907069887082903	1.57264291495119	53	107	1
SPAC1142.03c	0	263	122	100	2243	300	0	0	0.117253678109675	40.2141617692697	0.000345882766651793	0.0182729761692144	0	0.00775815045599972	0.409862855475478	10	90	1
SPAC1142.04	5	586	45	100	2169	300	0.05	17.1483583362114	0.270170585523283	92.659640249146	0.0031285561325689	0.021259262064414	0.185068259385666	0.0678583825154194	0.461113394177141	22	83	1
SPAC1142.05	30	268	124	100	969	300	0.3	102.890150017268	0.276573787409701	94.855728258094	0.0752925876818791	0.165469389330512	1.08470149253731	0.729585174637409	1.60339838261266	28	102	1
SPAC1142.06	27	305	43	100	1508	300	0.27	92.6011350155416	0.202254641909814	69.3667014926323	0.0584752478385146	0.133099617676099	1.33495081967213	0.8818067374048	2.00714223455558	21	106	1
SPAC1142.07c	3	154	76	100	1016	300	0.03	10.2890150017268	0.151574803149606	51.9851807830031	0.00497249477898608	0.0629385937228615	0.197922077922078	0.0505205469544986	0.639456112224272	13	90	1
SPAC1142.08	19	451	60	100	2324	300	0.19	65.1637616776033	0.194061962134251	66.5568813221286	0.0258449429890086	0.0678544621090122	0.979068736141907	0.600636475064561	1.57693769941344	19	100	1
SPAC1142.09	30	0	48	100	3	300	0.3	102.890150017268	0	0	6.07611523996385	327.617294208611	NA	0.182283457198916	9.82851882625832	0	130	1
SPAC11D3.01c	15	3	9	100	130	300	0.15	51.4450750086342	0.0230769230769231	7.91462692440526	1.366037699097	21.6912589930394	6.5	1.7758490088261	28.1986366909512	2	113	1
SPAC11D3.02c	17	89	76	100	450	300	0.17	58.3044183431188	0.197777777777778	67.8312840854584	0.109686196433359	0.328406403218552	0.859550561797753	0.493587883950117	1.47782881448348	19	98	1
SPAC11D3.03c	1	16	9	100	1284	300	0.01	3.42967166724228	0.0124610591900312	4.27373416478789	0.00308778638028139	0.444289421552728	0.8025	0.039647177122813	5.70467617273703	1	100	1
SPAC11D3.04c	1	76	8	100	1836	300	0.01	3.42967166724228	0.0413943355119826	14.1968979689768	0.000678757471648433	0.0870941109429738	0.241578947368421	0.0124619871794652	1.599047876913	4	97	1
SPAC11D3.05	4	572	4	100	1753	300	0.04	13.7186866689691	0.326297775242442	111.909423483319	0.00223186999817159	0.0193122705377276	0.122587412587413	0.0391246810679479	0.338544102526365	25	79	1
SPAC11D3.06	1	136	15	100	1521	300	0.01	3.42967166724228	0.0894148586456279	30.6663607327383	0.000381286087926348	0.0482652736722331	0.111838235294118	0.00579936139735976	0.734114812554666	8	93	1
SPAC11D3.07c	18	361	1	100	4030	300	0.18	61.734090010361	0.0895781637717122	30.722369029143	0.0300977885973477	0.0815416263174456	2.00941828254848	1.21294088047311	3.28612754059306	9	109	1
SPAC11D3.08c	3	186	38	100	3214	300	0.03	10.2890150017268	0.0578718108276291	19.8481309927525	0.0041252784319319	0.0519874758842294	0.518387096774194	0.132586448802291	1.67087747491913	5	98	1
SPAC11D3.09	0	18	3	100	1729	300	0	0	0.0104106419895894	3.57050838694974	0.00511285240857114	0.280011224227739	0	0.0884012181441949	4.8413940668976	1	99	1
SPAC11D3.10	0	70	2	100	4126	300	0	0	0.016965584100824	5.81863831088123	0.00130257172772573	0.069312198904719	0	0.0537441094859638	2.85982132680871	1	99	1
SPAC11D3.11c	2	130	8	100	2151	300	0.02	6.85934333448456	0.0604370060437006	20.727908728103	0.00263562579466695	0.0629236828588989	0.330923076923077	0.056692310843286	1.35348841829492	5	97	1
SPAC11D3.13	0	122	106	100	920	300	0	0	0.132608695652174	45.4804286308215	0.000746362511959153	0.0395493066977811	0	0.00686653511002421	0.363853621619586	11	89	1
SPAC11D3.14c	3	352	2	100	4308	300	0.03	10.2890150017268	0.0817084493964717	28.0233153869378	0.00218981728898109	0.0273235555942104	0.367159090909091	0.0943373288093054	1.17709877499859	7	96	1
SPAC11D3.15	3	412	2	100	3921	300	0.03	10.2890150017268	0.105075235909207	36.0373559526605	0.00187231140392621	0.0233239313932344	0.285509708737864	0.0734133301479469	0.914531349928721	9	94	1
SPAC11D3.16c	19	263	127	100	945	300	0.19	65.1637616776033	0.278306878306878	95.4501215327745	0.0440059324284178	0.117212733710046	0.682699619771863	0.415856061448548	1.10766033355993	25	94	1
SPAC11D3.17	9	244	16	100	3291	300	0.09	30.8670450051805	0.0741415982983896	25.4281339048045	0.0177685049126726	0.0737934762354496	1.21389344262295	0.584761496676056	2.42854330290865	7	102	1
SPAC11D3.18c	1	164	12	100	2031	300	0.01	3.42967166724228	0.0807483998030527	27.6940498979682	0.000316545893997051	0.0399526425995154	0.123841463414634	0.0064290471070801	0.811438171196158	7	94	1
SPAC11D3.19	3	49	2	100	1210	300	0.03	10.2890150017268	0.040495867768595	13.888753032634	0.0152478106937568	0.203683022181668	0.740816326530612	0.184498509394457	2.46456456839818	4	99	1
SPAC11E3.01c	13	517	3	100	3812	300	0.13	44.5857316741496	0.135624344176285	46.5146970609722	0.0138816242431518	0.0445834850438195	0.95852998065764	0.529167516148945	1.6995224498704	13	100	1
SPAC11E3.02c	4	520	11	100	3850	300	0.04	13.7186866689691	0.135064935064935	46.3228381030126	0.0024541496843931	0.0212523459426748	0.296153846153846	0.0944847628491344	0.818215318792979	12	92	1
SPAC11E3.03	1	30	14	100	987	300	0.01	3.42967166724228	0.0303951367781155	10.4245339429857	0.00168902937199498	0.227153129587376	0.329	0.0166707199015904	2.2420013890274	2	99	1
SPAC11E3.04c	3	172	58	100	714	300	0.03	10.2890150017268	0.240896358543417	82.6195415638196	0.00445755066873454	0.0562710810167799	0.12453488372093	0.0318269117747646	0.401775518459808	19	84	1
SPAC11E3.05	7	199	1	100	3997	300	0.07	24.007701670696	0.049787340505379	17.0754231118642	0.0151981029327246	0.0771452513539604	1.40597989949749	0.607468174221004	3.0834956966178	5	102	1
SPAC11E3.06	0	18	27	100	1847	300	0	0	0.00974553329723877	3.3423979431706	0.00511285240857114	0.280011224227739	0	0.0944343839863089	5.17180731148633	0	100	1
SPAC11E3.07	252	399	96	100	1208	300	2.52	864.277260145054	0.330298013245033	113.281373777291	0.537743922575656	0.741700957300801	7.62947368421053	6.49594658471392	8.95974756419368	87	265	1.18670692475393e-56
SPAC11E3.08c	17	105	4	100	1531	300	0.17	58.3044183431188	0.0685826257348138	23.5215888347772	0.0936144064836612	0.276371816315773	2.4787619047619	1.43323656326485	4.23125250779449	7	110	1
SPAC11E3.09	0	138	9	100	1333	300	0	0	0.103525881470368	35.5059782505202	0.000659688017503077	0.0349336806536441	0	0.00879364127331602	0.465665963113076	9	91	1
SPAC11E3.10	6	277	51	100	1069	300	0.06	20.5780300034537	0.25912067352666	88.8698832391124	0.00872280129518173	0.0502351170452563	0.231552346570397	0.0932467458454926	0.537013401213789	21	85	1
SPAC11E3.11c	10	567	7	100	3255	300	0.1	34.2967166724228	0.174193548387097	59.7426677519623	0.00890946971913746	0.0338178882796344	0.574074074074074	0.290003239357924	1.1007722635021	16	94	1
SPAC11E3.12	13	76	0	100	2724	300	0.13	44.5857316741496	0.0279001468428781	9.56883431389182	0.0906332189874498	0.316611122933148	4.65947368421053	2.46884888521813	8.62448698869894	3	110	0.174269360038297
SPAC11E3.13c	192	1521	116	100	2103	300	1.92	658.496960110518	0.723252496433666	248.051859528079	0.108315728402719	0.147062410779231	2.65467455621302	2.27787976830917	3.09272249868722	122	170	1.96207775036215e-11
SPAC11E3.14	12	387	16	100	2681	300	0.12	41.1560600069074	0.144349123461395	49.5070098926804	0.0166432814689932	0.0563969389194422	0.831317829457364	0.446206376183708	1.51200193243025	14	98	1
SPAC11E3.15	165	282	1219	100	406	300	1.65	565.895825094976	0.694581280788177	238.218573931607	0.480610471119461	0.712146604686121	2.37553191489362	1.95127851274501	2.89131521502565	108	157	1.76130100660642e-05
SPAC11G7.01	41	1716	143	100	2966	300	0.41	140.616538356933	0.578556979096426	198.42604790923	0.0172993826703692	0.0328742216507775	0.708659673659674	0.513099690003151	0.975049414162061	51	90	1
SPAC11G7.02	74	1098	52	100	2923	300	0.74	253.795703375929	0.375641464249059	128.83268869764	0.0528652259358083	0.0857885119361455	1.9699635701275	1.54525055410368	2.50759820389353	47	127	0.114069092697641
SPAC11G7.03	10	204	61	100	1164	300	0.1	34.2967166724228	0.175257731958763	60.1076477764111	0.0245064280479111	0.0950302095827699	0.570588235294118	0.285254822477686	1.10615163954344	16	94	1
SPAC11G7.04	27	201	393	93	363	300	0.290322580645161	99.5711129199372	0.553719008264463	189.907439425812	0.0879552940151779	0.203790716102423	0.52431391429947	0.343309373414082	0.795441182206233	42	78	1
